Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
112,AMD,Opteron,Shanghai,K8,2389,2009-04-01,2900.0,,1,4,115.0,64,,,,1.325,,,,,,,18.132270295558374,20.718333288070355,16.95022208977326,14.178669539820472,14.255062594921242,18.936655942293434,15.356761321044853,19.79165153861252,15.918822614883181,47.857536447531636,25.150739836444018,13.767133604091422,13.692302370924862,17.759154503826913,30.78669654109864,17.97984441807954,19.859637618552583,16.795712097450462,16.238194889098416,40.719476131221114,18.51952397731799,14.11923726682028,21.57284270201155,14.65909830146558,18.755218795281856,19.159101338643477,21.741840276759575,17.955472978975358,31.339131601899055,23.457313597773467,22.913031293703245,,64,64,512,1,6144,,,,,,,,,AMD,,0.045,0.025,,,9.0,1.325,"mul(360,Leff)"
113,AMD,Opteron,Istanbul,K8,2435,2009-06-01,2600.0,,1,6,115.0,64,904.0,346,,1.3,,,,,,,17.932525157476295,20.53107324124416,16.0328491787284,13.061296326135512,14.18446360010253,20.17203675793673,15.064836382814063,17.96522917229784,14.633257518104003,65.82024318417915,22.575280356844587,13.81699230086208,12.386805250008948,18.13308763123444,39.09779009538035,16.1328521739493,20.072549841140358,16.449000780022303,14.39930873739305,54.3134038926446,19.219879583286787,12.966580829440678,20.363812720116737,14.717374984807845,16.46639748522327,17.694971280425243,21.716358791654827,16.265781906400253,29.23146667275455,23.638584779614405,23.49256381589521,,64,64,512,1,6144,,,,,,,,,AMD,,0.045,0.025,,,9.0,1.3,"mul(360,Leff)"
114,AMD,Opteron,Santa Rosa,K8,8220,2007-02-01,2800.0,,1,2,120.0,64,243.0,220,1.375,1.375,,,,,,,11.41346516040319,12.332156368491438,12.298089464640997,9.839292698185226,8.63150173905807,8.533670369717596,13.932292121446785,13.595287438741215,12.766579482377281,12.897673999228338,20.7651730122751,8.387468815177789,9.059843571411388,11.164470744656857,16.664194744505284,14.033015616856776,9.798816322398771,10.899694181022227,12.299728991318819,12.128820491606604,11.396166762931067,12.199999999999998,17.16621274236733,8.405888727949975,16.02864659683765,7.363331824810005,10.926429146246736,14.385575834229888,13.496767401593479,14.662694057226888,13.132742521685778,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.375,"mul(360,Leff)"
115,AMD,Opteron,Santa Rosa,K8,8222,2007-08-05,3000.0,,1,2,120.0,64,243.0,220,1.375,1.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.375,"mul(360,Leff)"
116,AMD,Opteron,Barcelona,K8,8350,2007-09-10,2000.0,,1,4,75.0,64,463.0,285,1.2,1.2,,,,,,,10.299999999999999,11.199999999999998,9.45,8.02,7.43,9.38,8.71,13.4,9.45,29.0,15.3,7.91,7.9,9.18,14.9,10.3,12.4,10.6,8.95,10.4,10.4,8.03,13.4,7.93,12.4,12.0,10.3,10.9,14.4,12.6,13.5,,64,64,512,1,2048,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.2,"mul(360,Leff)"
117,AMD,Opteron,SledgeHammer,K8,140 EE,,1400.0,,1,1,,,,,,,,,,,947.9999999999997,1012.0000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.13,0.07,,,25.2,,"mul(360,Leff)"
118,AMD,Opteron,SledgeHammer,K8,146 HE,,2000.0,,1,1,,,,,,,,,,,1288.9999999999995,1306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.13,0.07,,,25.2,,"mul(360,Leff)"
119,AMD,Opteron,Santa Rosa,K8,2220-SE,2006-08-01,2800.0,,1,2,119.0,64,,,1.325,1.375,,,,,1753.4621873571339,2001.6381967771372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.375,"mul(360,Leff)"
120,AMD,Opteron,Santa Rosa,K8,2222-SE,2007-04-01,3000.0,,1,2,119.0,64,,,1.325,1.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.375,"mul(360,Leff)"
121,AMD,Opteron,Barcelona,K8,2360-SE,2008-04-01,2500.0,,1,4,119.0,64,463.0,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,1,2048,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,,"mul(360,Leff)"
122,AMD,Opteron,Istanbul,K8,2439-SE,2009-07-01,2800.0,,1,6,137.0,64,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,1,6144,,,,,,,,,AMD,,0.045,0.025,,,9.0,1.3,"mul(360,Leff)"
123,AMD,Phenom II,Heka,K10,710,2009-02-01,2600.0,,1,3,95.0,64,758.0,258,0.875,1.425,,,,,,,15.100000000000003,15.999999999999998,16.1,12.9,15.1,12.2,16.9,5.2,14.5,52.5,23.3,12.2,11.5,16.7,36.7,15.5,11.0,17.7,13.9,36.0,12.8,12.9,14.7,11.8,20.1,6.0,15.6,9.5,22.9,21.1,21.8,,64,64,512,1,6144,,,,,,,,,AMD,,0.045,0.025,,,9.0,1.425,"mul(360,Leff)"
124,AMD,Phenom II,Heka,K10,720,2009-02-01,2800.0,,1,3,95.0,64,758.0,258,0.875,1.425,,,,,,,15.999999999999998,20.51438519673451,17.3,13.8,15.8,12.6,18.2,5.6,15.5,53.7,25.0,12.7,12.4,17.7,42.05472625044657,17.859731240978963,18.03413430137416,25.559929577367775,15.536408851468861,42.2280712322976,18.205219031914996,14.3429425153976,18.45778968349136,13.245754036671524,21.2452347598232,12.039518262787759,18.64403389827427,13.66235704408284,34.43254274665175,25.632011235952593,24.37990976193308,,64,64,512,1,6144,,,,,,,,,AMD,,0.045,0.025,,,9.0,1.425,"mul(360,Leff)"
125,AMD,Phenom II,Deneb,K10,805,2009-02-01,2500.0,,1,4,95.0,64,758.0,258,0.875,1.425,,,,,,,14.5,15.599999999999998,15.2,12.0,14.1,11.7,16.3,5.0,14.1,54.2,22.4,12.0,11.0,15.5,37.7,14.8,10.7,17.4,13.2,41.7,12.6,12.4,13.8,11.2,19.3,5.8,16.0,9.0,22.8,21.0,17.9,,64,64,512,1,4096,,,,,,,,,AMD,,0.045,0.025,,,9.0,1.425,"mul(360,Leff)"
126,AMD,Phenom II,Deneb,K10,810,2009-02-01,2600.0,,1,4,95.0,64,758.0,258,0.875,1.425,,,,,,,14.7,15.900000000000004,15.7,12.3,14.1,11.6,16.7,5.2,14.4,54.9,23.1,11.8,11.0,15.7,38.0,15.4,10.9,17.5,13.7,42.8,12.7,12.9,14.1,11.2,20.1,6.0,16.1,9.3,22.8,21.4,18.1,,64,64,512,1,4096,,,,,,,,,AMD,,0.045,0.025,,,9.0,1.425,"mul(360,Leff)"
127,AMD,Phenom II,Deneb,K10,910,2009-02-01,2600.0,,1,4,95.0,64,758.0,258,0.875,1.425,,,,,,,15.199999999999998,16.300000000000004,16.0,13.0,15.1,12.3,16.9,5.2,14.6,54.5,23.4,12.7,11.7,16.6,38.1,15.4,10.9,17.9,13.9,43.7,12.9,12.9,14.4,11.7,20.1,6.0,16.2,9.4,22.8,21.7,21.9,,64,64,512,1,6144,,,,,,,,,AMD,,0.045,0.025,,,9.0,1.425,"mul(360,Leff)"
128,AMD,Phenom II,Deneb,K10,920,2009-01-01,2800.0,,1,4,125.0,64,758.0,258,0.875,1.425,,,,,,,15.799999999999997,17.0,17.1,13.5,15.2,12.1,18.0,5.6,15.4,56.7,24.8,12.6,12.0,16.7,39.4,16.5,11.2,17.8,15.0,46.5,13.6,13.9,14.9,12.0,21.6,6.5,16.7,10.1,23.5,22.6,21.1,,64,64,512,1,6144,,,,,,,,,AMD,,0.045,0.025,,,9.0,1.425,"mul(360,Leff)"
129,AMD,Phenom II,Deneb,K10,925,2009-05-01,2800.0,,1,4,95.0,64,758.0,258,0.85,1.425,,,,,,,15.999999999999998,17.0,17.2,13.8,15.4,12.6,18.1,5.6,15.6,55.3,25.0,12.9,12.5,17.5,38.3,16.5,11.0,18.5,14.9,45.6,13.4,13.9,15.3,12.1,21.6,6.5,16.5,10.1,22.8,22.5,22.7,,64,64,512,1,6144,,,,,,,,,AMD,,0.045,0.025,,,9.0,1.425,"mul(360,Leff)"
130,AMD,Phenom II,Deneb,K10,940,2009-01-01,3000.0,,1,4,125.0,64,758.0,258,0.875,1.425,,,,,,,16.400000000000002,,18.0,14.2,15.5,12.2,19.0,5.9,16.0,57.1,26.9,12.8,12.7,17.5,,,,,,,,,,,,,,,,,,,64,64,512,1,6144,,,,,,,,,AMD,,0.045,0.025,,,9.0,1.425,"mul(360,Leff)"
131,AMD,Phenom II,Deneb,K10,955,2009-08-01,3200.0,,1,4,125.0,64,758.0,258,0.85,1.4,,,,,,,20.25043209415543,23.258546816170604,19.844898588806142,15.59967948388684,15.46770829825802,16.057708429287164,20.84514331924825,11.537764081484767,18.04438970982394,114.83814697216252,31.482693658580104,14.218298069740976,14.851599240485854,18.64188831636967,45.51834794893154,20.104725812604357,18.82020191177555,30.750609750052114,17.689827585366682,65.76473218982953,21.14166502430686,16.343806166251483,19.944924166313594,14.10319112825179,24.245824382767438,13.601470508735444,20.8,15.023980830658697,38.69496091224282,27.97141397927534,26.190265367116844,,64,64,512,1,6144,,,,,,,,,AMD,,0.045,0.025,,,9.0,1.4,"mul(360,Leff)"
132,AMD,Phenom,Toliman,K10,8750,2008-04-01,2400.0,,1,3,95.0,64,463.0,283,1.2,1.25,,,,,,,12.700000000000001,13.999999999999996,13.3,10.3,12.4,9.5,14.8,4.7,12.6,51.4,20.6,10.5,9.3,12.4,34.5,13.9,10.5,15.8,11.2,28.6,11.8,11.0,12.8,10.4,18.1,5.5,14.3,8.3,22.8,18.7,14.1,,64,64,512,1,2048,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.25,"mul(360,Leff)"
133,AMD,Phenom,Agena,K10,9750,2008-03-27,2400.0,,1,4,95.0,64,463.0,285,1.15,1.25,,,,,,,12.599999999999996,14.2,13.0,9.9,11.9,9.4,14.6,4.6,12.4,53.9,20.5,10.5,9.2,12.1,35.8,13.7,10.4,15.7,11.0,35.5,12.1,10.8,12.4,10.3,18.0,5.4,15.3,8.2,23.7,19.0,13.8,,64,64,512,1,2048,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.25,"mul(360,Leff)"
134,AMD,Phenom,Agena,K10,9850,2008-07-01,2500.0,,1,4,125.0,64,463.0,283,1.2,1.3,,,,,,,13.2,14.799999999999997,13.7,10.5,12.7,9.9,15.3,4.8,13.0,55.6,21.6,11.0,9.7,12.8,36.2,14.4,10.9,16.4,11.5,36.6,12.6,11.2,13.0,10.7,18.8,5.7,15.7,8.6,23.6,19.9,14.6,,64,64,512,1,2048,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.3,"mul(360,Leff)"
135,AMD,Phenom,Agena,K10,9950,2008-07-01,2600.0,,1,4,140.0,64,463.0,283,1.25,1.3,,,,,,,13.4,15.100000000000003,14.0,10.5,12.7,9.7,15.7,5.0,13.5,56.3,22.1,10.8,9.7,13.1,36.7,14.9,11.0,16.6,11.9,37.4,12.8,11.6,13.2,10.9,19.5,5.9,15.7,8.8,23.9,20.3,15.0,,64,64,512,1,2048,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.3,"mul(360,Leff)"
136,AMD,Phenom,Agena,K10,9350,2008-07-01,2000.0,,1,4,65.0,64,463.0,283,1.075,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,1,2048,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.125,"mul(360,Leff)"
137,AMD,Turion 64,Lancaster,K8,MT-40,2005-08-01,2200.0,,1,1,25.0,64,114.0,125,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.2,"mul(360,Leff)"
138,AMD,Turion 64 X2,Trinidad,K8,TL-56,,1800.0,,1,2,,,,,,,,,,,,,6.93,6.46,9.06,5.86,5.49,7.15,10.5,2.89,8.08,8.2,10.0,6.59,5.67,7.78,10.3,8.76,7.29,7.57,4.36,6.53,4.95,7.6,7.56,6.02,10.8,2.69,5.12,4.0,7.98,6.35,8.0,,64,64,512,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
139,AMD,Turion 64 X2,Tyler,K8,TL-60,2007-06-01,2000.0,,1,2,31.0,64,153.8,126,1.125,1.125,,,,,,,7.679973958289183,7.1549563241154726,9.994448459019637,6.524998084290907,6.089967159188956,8.07403244977378,11.549025932952095,3.194902189426149,8.767485386357938,9.199733691797823,11.048981853546506,7.4537775657716,6.2899682034172475,8.57971444746269,11.549891774384728,9.614052215377239,8.204328126056392,8.399976190442446,4.749147291883038,7.138991525418699,5.51499773345375,8.339274548784203,8.349850298059241,6.734775423130307,11.899579824514813,2.9698484809834995,5.719921328130309,4.3998181780614525,8.969860645517297,7.02993598832877,8.924763302183425,,64,64,512,1,,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.125,"mul(360,Leff)"
590,AMD,Am29000,,,,,,,1,1,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
591,AMD,Am29030,,,,,,,1,1,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
592,AMD,Am29035,,,,,,,1,1,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,
593,AMD,Am29040,,,,,,,1,1,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,AMD,Am29050,,,,,,,1,1,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,AMD,A4,,,A4-4000,,3000.0,,,,,,,,,,,,,,,,22.743350676626342,22.445489524623877,17.8,12.6,12.890306435457616,28.04959892761392,17.117826964892476,32.937212996852054,17.2,171.46428199482247,26.699812733425677,15.449919093639293,15.946159412222118,21.543676566454483,42.97382924525112,16.649924924755666,28.349955908254955,18.94201678808252,20.04844133592435,24.34953798329652,14.35896932234344,16.149922600433726,27.399270063269935,17.24934781375806,22.499777776680375,24.05327420539665,18.682344606606527,14.943225890014512,53.6276048318401,24.370473938764505,22.648620267027304,,,,,,,,,,,,,,,,,,,,,,,
613,AMD,A10,,,A10-6800K,,4100.0,,,,,,,,,,,,,,,,31.34517506730503,33.939357683963316,24.943937139112585,18.797606230581597,17.03760546555765,36.64996589357212,23.230368055629253,46.518168493611185,23.449946695035365,263.85223137203144,35.94913072662536,19.8997487421324,22.543291685111114,28.453470790045984,67.32911702970713,21.5,34.64823227814083,40.3876218661114,27.698375403622503,55.49963963846972,30.98806221757017,22.1,43.898974931084666,22.24859546128699,30.84898701740464,32.28498102833576,30.588886870888256,18.98315042346765,94.15412895885129,32.36525915236892,28.74786948627672,,,,,,,,,,,,,,,,,,,,,,,
614,AMD,A8,,,A8-6500,,3500.0,,,,,,,,,,,,,,,,29.799999999999997,32.4,22.8,18.0,15.4,35.1,23.4,47.5,21.8,233.0,31.8,19.1,21.8,30.2,69.3,19.1,33.1,38.3,25.4,51.7,33.3,20.6,40.8,21.4,29.0,31.9,33.3,16.0,95.5,27.5,27.7,,,,,,,,,,,,,,,,,,,,,,,
615,AMD,A6,,,A6-6400K,,3900.0,,,,,,,,,,,,,,,,26.89999999999999,26.299999999999997,22.1,15.5,15.8,31.4,20.3,37.2,21.7,207.0,33.3,17.4,18.6,22.8,46.6,21.0,32.6,21.7,25.9,28.6,14.8,20.7,33.3,19.4,28.6,28.4,18.9,19.1,59.2,31.1,25.8,,,,,,,,,,,,,,,,,,,,,,,
