Processor ID,Designer,Processor Family,Processor Code Name,Microarchitecture,Processor Model,Processor Date,Processor Clock [MHz],Processor Clock (Max) [MHz],Threads/core,Cores,TDP,Instruction set width,Transistors (millions),Die size (mm^2),Voltage (low),Voltage (high),SpecInt1992 (average base),SpecFp1992 (average base),SpecInt1995 (average base),SpecFp1995 (average base),SpecInt2000 (average base),SpecFp2000 (average base),SpecInt2006 (average base),SpecFp2006 (average base),x400_perlbench,x401_bzip2,x403_gcc,x429_mcf,x445_gobmk,x456_hmmer,x458_sjeng,x462_libquantum,x464_h264ref,x471_omnetpp,x473_astar,x483_xalancbmk,x410_bwaves,x416_gamess,x433_milc,x434_zeusmp,x435_gromacs,x436_cactusadm,x437_leslie3d,x444_namd,x447_dealii,x450_soplex,x453_povray,x454_calculix,x459_gemsfdtd,x465_tonto,x470_lbm,x481_wrf,x482_sphinx3,L1 (unified) (on chip),L1 (instruction) (on chip),L1 (data) (on chip),L2 (on chip),Cores sharing L2 (on chip),L3 (on chip),Cores sharing L3 (on chip),L1 (unified) (off chip),L1 (instruction) (off chip),L1 (data) (off chip),L2 (off chip),Cores sharing L2 (off chip),L3 (off chip),Cores sharing L3 (off chip),Fabricated by,Process Name,Feature Size [microns],Channel length [microns],Metal layers,Metal type,FO4 Delay [ps],FO4 Delay Vdd [V],FO4 Source
79,AMD,Opteron,Troy,,252,,2600.0,,1,1,,,,,,,,,,,1606.7999389734123,1812.6328684317612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
80,AMD,Opteron,Troy,K8,254,,2800.0,,1,1,92.6,64,106.0,115,1.35,1.4,,,,,1736.2872469803676,1922.6899830003133,11.1,11.930983450269714,12.49814585831962,9.71020665116035,9.152308533936983,7.274189175230805,13.699273586433074,13.133689483901424,13.090741860938923,14.697253717456492,18.896317974814504,8.53471678958561,8.913084444926328,8.526209114627045,17.266409925140668,13.693523498551224,11.099093614272721,11.159280281433483,10.538511636516937,10.077268093117942,10.899076879430545,12.165485175401994,17.0446989766635,9.355255436242704,15.933263695281422,8.394248897844781,9.101944116289882,12.668294650711204,12.048397139922907,12.327956766953804,13.532759944537617,,64,64,1024,,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.4,"mul(360,Leff)"
81,AMD,Opteron,Troy,K8,256,,3000.0,,1,1,92.6,64,106.0,115,1.35,1.4,,,,,1814.3586441877458,2073.3567902447307,11.74904251417961,12.364440265700068,13.447676379211392,10.066031988822607,9.413522188851525,7.647117103850313,14.649914675519446,14.365235814284429,14.294404499663496,14.994665718181249,19.369563753476744,8.740394727928482,9.3980795910654,9.580083506942932,20.20357418047537,14.591679126788222,11.196384887668996,9.121206028950278,9.889732237875075,12.068359838241719,12.44192796219919,13.199238554178855,17.096840609609657,9.52369341984094,17.09980506600395,8.796158791872623,11.391148869856762,12.059702475271829,11.391005524591034,12.100475813996333,13.323937894874177,,64,64,1024,,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.4,"mul(360,Leff)"
82,AMD,Opteron,Italy,,265,,1800.0,,1,2,,,,,,,,,,,1190.5145946186465,1325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
83,AMD,Opteron,Italy,,275,,2200.0,,1,2,,,,,,,,,,,1408.9224769305388,1584.2309783843261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
84,AMD,Opteron,Italy,,280,,2400.0,,1,2,,,,,,,,,,,1542.3961129235151,1757.6814426705025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
85,AMD,Opteron,Italy,,285,,2600.0,,1,2,,,,,,,,,,,1651.8072658019094,1816.4153641386856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
86,AMD,Opteron,SledgeHammer,,850,,2400.0,,1,2,,,,,,,,,,,1469.997619045691,1521.2139888917666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.13,0.07,,,25.2,,"mul(360,Leff)"
87,AMD,Opteron,Athens,,852,,2600.0,,1,2,,,,,,,,,,,1558.0,1839.9999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
88,AMD,Opteron,Athens,,854,,2800.0,,1,2,,,,,,,,,,,1696.0000000000002,2052.0,11.199999999999998,12.1,12.3,10.0,9.44,7.57,13.5,12.5,13.0,15.3,20.6,9.08,9.09,7.91,17.4,13.4,11.3,11.5,11.8,9.96,10.8,12.0,18.2,9.51,16.0,7.44,8.55,13.8,12.2,13.8,13.5,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
89,AMD,Opteron,Athens,,856,,3000.0,,1,2,,,,,,,,,,,1780.9999999999995,1866.0000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
90,AMD,Opteron,Egypt,,880,,2400.0,,1,2,,,,,,,,,,,1499.0,1861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
91,AMD,Opteron,Egypt,,885,,2600.0,,1,2,,,,,,,,,,,1645.4640682798272,1805.9341073250712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
92,AMD,Opteron,Egypt,K8,890,,2800.0,,1,2,95.0,64,233.0,199,1.3,1.35,,,,,,,12.599999999999996,12.700000000000001,12.8,10.2,9.8,10.9,14.3,13.9,13.1,14.6,21.4,9.73,9.66,14.8,18.0,14.1,10.8,11.6,12.6,12.4,11.0,12.2,18.7,9.47,16.4,7.48,10.7,14.9,12.1,15.0,14.3,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.35,"mul(360,Leff)"
93,AMD,Opteron,Santa Ana,,1210,,1800.0,,1,2,,,,,,,,,,,1181.0,1545.9999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
94,AMD,Opteron,Santa Ana,,1212,,2000.0,,1,2,,,,,,,,,,,1306.9999999999998,1705.0000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
95,AMD,Opteron,Santa Ana,,1214,,2200.0,,1,2,,,,,,,,,,,1398.0,1806.0000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
96,AMD,Opteron,Santa Ana,,1216,,2400.0,,1,2,,,,,,,,,,,1484.0,1894.0000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
97,AMD,Opteron,Santa Ana,K8,1218,2006-08-01,2600.0,,1,2,103.0,64,227.4,230,1.3,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,1.35,"mul(360,Leff)"
98,AMD,Opteron,Santa Ana,,1220,,2800.0,,1,2,,,,,,,,,,,,2600.9999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,1024,1,,,,,,,,,,AMD,,0.09,0.053,,,19.08,,"mul(360,Leff)"
99,AMD,Opteron,Budapest,K8,1352,2008-04-01,2100.0,,1,4,95.0,64,463.0,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,1,2048,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.2,"mul(360,Leff)"
100,AMD,Opteron,Budapest,K8,1354,2008-04-01,2200.0,,1,4,95.0,64,463.0,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,1,2048,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.2,"mul(360,Leff)"
101,AMD,Opteron,Budapest,K8,1356,2008-04-01,2300.0,,1,4,95.0,64,463.0,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,512,1,2048,,,,,,,,,AMD,,0.065,0.035,10,copper,12.6,1.2,"mul(360,Leff)"
