Model,Family,Line,Platform,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock,All Core Boost Speed,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,Socket Count,PCI Express® Version AMD EPYC™ 7002 Series,Thermal Solution PIB,Default TDP / TDP AMD EPYC™ 7002 Series,cTDP,Max Temps,System Memory Specification AMD EPYC™ 7002 Series,System Memory Type,Memory Channels,Per Socket Mem BW,Graphics Frequency,GPU Base,Graphics Model,Graphics Core Count,DisplayPort,HDMI,DVI,VGA
AMD EPYC™ 7642,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,48,96,,,2.3GHz,3.3GHz,,,,256MB,,,SP3,1P/2P,PCIe 4.0 x128,,225W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7601,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,32,64,,,2.2GHz,3.2GHz,2.7GHz,,,64MB,,,SP3,1P/2P,PCIe 3.0 x128,,180W,,,2666MHz,DDR4,8,170.60 GB/s,,,,,,,,
AMD EPYC™ 7552,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,48,96,,,2.2GHz,3.3GHz,,,,192MB,,,SP3,1P/2P,PCIe 4.0 x128,,200W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7551P,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,32,64,,,2GHz,3GHz,2.55GHz,,,64MB,,,SP3,1P,PCIe 3.0 x128,,180W,,,2666MHz,DDR4,8,170.60 GB/s,,,,,,,,
AMD EPYC™ 7551,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,32,64,,,2GHz,3GHz,2.55GHz,,,64MB,,,SP3,1P/2P,PCIe 3.0 x128,,180W,,,2666MHz,DDR4,8,170.60 GB/s,,,,,,,,
AMD EPYC™ 7542,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,32,64,,,2.9GHz,3.4GHz,,,,128MB,,,SP3,1P/2P,PCIe 4.0 x128,,225W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7502P,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,32,64,,,2.5GHz,3.35GHz,,,,128MB,,,SP3,1P,PCIe 4.0 x128,,180W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7502,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,32,64,,,2.5GHz,3.35GHz,,,,128MB,,,SP3,1P/2P,PCIe 4.0 x128,,180W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7501,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,32,64,,,2GHz,3GHz,2.6GHz,,,64MB,,,SP3,1P/2P,PCIe 3.0 x128,,155/170W,,,2400MHz/2666MHz,DDR4,8,153.60 GB/s/170.60 GB/s,,,,,,,,
AMD EPYC™ 7452,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,32,64,,,2.35GHz,3.35GHz,,,,128MB,,,SP3,1P/2P,PCIe 4.0 x128,,155W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7451,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,24,48,,,2.3GHz,3.2GHz,2.9GHz,,,64MB,,,SP3,1P/2P,PCIe 3.0 x128,,180W,,,2666MHz,DDR4,8,170.60 GB/s,,,,,,,,
AMD EPYC™ 7402P,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,24,48,,,2.8GHz,3.35GHz,,,,128MB,,,SP3,1P,PCIe 4.0 x128,,180W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7402,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,24,48,,,2.8GHz,3.35GHz,,,,128MB,,,SP3,1P/2P,PCIe 4.0 x128,,180W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7401P,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,24,48,,,2GHz,3GHz,2.8GHz,,,64MB,,,SP3,1P,PCIe 3.0 x128,,155/170W,,,2400MHz/2666MHz,DDR4,8,153.60 GB/s/170.60 GB/s,,,,,,,,
AMD EPYC™ 7401,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,24,48,,,2GHz,3GHz,2.8GHz,,,64MB,,,SP3,1P/2P,PCIe 3.0 x128,,155/170W,,,2400MHz/2666MHz,DDR4,8,153.60 GB/s/170.60 GB/s,,,,,,,,
AMD EPYC™ 7371,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,16,32,,,3.1GHz,3.8GHz,3.6GHz,,,64MB,,,SP3,1P/2P,PCIe 3.0 x128,,200W,,,2666MHz,DDR4,8,170.60 GB/s,,,,,,,,
AMD EPYC™ 7352,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,24,48,,,2.3GHz,3.2GHz,,,,128MB,,,SP3,1P/2P,PCIe 4.0 x128,,155W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7351P,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,16,32,,,2.4GHz,2.9GHz,2.9GHz,,,64MB,,,SP3,1P,PCIe 3.0 x128,,155/170W,,,2400MHz/2666MHz,DDR4,8,153.60 GB/s/170.60 GB/s,,,,,,,,
AMD EPYC™ 7351,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,16,32,,,2.4GHz,2.9GHz,2.9GHz,,,64MB,,,SP3,1P/2P,PCIe 3.0 x128,,155/170W,,,2400MHz/2666MHz,DDR4,8,153.60 GB/s/170.60 GB/s,,,,,,,,
AMD EPYC™ 7302P,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,16,32,,,3GHz,3.3GHz,,,,128MB,,,SP3,1P,PCIe 4.0 x128,,155W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7302,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,16,32,,,3GHz,3.3GHz,,,,128MB,,,SP3,1P/2P,PCIe 4.0 x128,,155W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7301,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,16,32,,,2.2GHz,2.7GHz,2.7GHz,,,64MB,,,SP3,1P/2P,PCIe 3.0 x128,,155/170W,,,2400MHz/2666MHz,DDR4,8,153.60 GB/s/170.60 GB/s,,,,,,,,
AMD EPYC™ 7282,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,16,32,,,2.8GHz,3.2GHz,,,,64MB,,,SP3,1P/2P,PCIe 4.0 x128,,120W,,,3200MHz,DDR4,8,85.30 GB/s,,,,,,,,
AMD EPYC™ 7281,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,16,32,,,2.1GHz,2.7GHz,2.7GHz,,,32MB,,,SP3,1P/2P,PCIe 3.0 x128,,155/170W,,,2400MHz/2666MHz,DDR4,8,153.60 GB/s/170.60 GB/s,,,,,,,,
AMD EPYC™ 7272,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,12,24,,,2.9GHz,3.2GHz,,,,64MB,,,SP3,1P/2P,PCIe 4.0 x128,,120W,,,3200MHz,DDR4,8,85.30 GB/s,,,,,,,,
AMD EPYC™ 7262,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,8,16,,,3.2GHz,3.4GHz,,,,128MB,,,SP3,1P/2P,PCIe 4.0 x128,,155W,,,3200MHz,DDR4,8,204.80 GB/s,,,,,,,,
AMD EPYC™ 7261,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,8,16,,,2.5GHz,2.9GHz,2.9GHz,,,64MB,,,SP3,1P/2P,,,155/170W,,,2400MHz/2666MHz,DDR4,8,153.60 GB/s/170.60 GB/s,,,,,,,,
AMD EPYC™ 7252,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,8,16,,,3.1GHz,3.2GHz,,,,64MB,,,SP3,1P/2P,PCIe 4.0 x128,,120W,,,3200MHz,DDR4,8,85.30 GB/s,,,,,,,,
AMD EPYC™ 7251,AMD EPYC™,AMD EPYC™ 7001 Series,Server,,8,16,,,2.1GHz,2.9GHz,2.9GHz,,,32MB,,,SP3,1P/2P,PCIe 3.0 x128,,120W,,,2400MHz,DDR4,8,153.60 GB/s,,,,,,,,
AMD EPYC™ 7232P,AMD EPYC™,AMD EPYC™ 7002 Series,Server,,8,16,,,3.1GHz,3.2GHz,,,,32MB,,,SP3,1P,PCIe 4.0 x128,,120W,,,3200MHz,DDR4,8,85.30 GB/s,,,,,,,,
AMD Athlon™ PRO 300U Mobile Processor with Radeon™ Vega 3 Graphics,AMD Athlon™ PRO Processors,AMD Athlon™ PRO Mobile Processors with Radeon™ Vega Graphics,,,2,4,3,,2.4GHz,3.3GHz,,384KB,1MB,4MB,No,14nm,FP5,,PCIe 3.0,Not included,15W,12-25W,95°C,2400MHz,,2,,1000 MHz,,Radeon™ Vega 3 Graphics,3,Yes,Yes,,
AMD Athlon™ PRO 200U Mobile Processor with Radeon™ Vega 3 Graphics,AMD Athlon™ PRO Processors,AMD Athlon™ PRO Mobile Processors with Radeon™ Vega Graphics,Laptop,,2,4,3,5 (2 CPU + 3 GPU),2.3GHz,3.2GHz,,192KB,1MB,4MB,No,14nm,FP5,,PCIe 3.0,Not included,15W,12-25W,105°C,2400MHz,,2,,1000 MHz,,Radeon™ Vega 3 Graphics,3,Yes,Yes,,
AMD Athlon™ PRO 200GE,AMD Athlon™ PRO Processors,AMD Athlon™ PRO Desktop Processors with Radeon™ Vega Graphics,Desktop,,2,4,3,5 (2 CPU + 3 GPU),3.2GHz,,,192KB,1MB,4MB,No,14nm,AM4,,PCIe 3.0,,35W,,95°C,2667MHz,,2,,1000 MHz,,Radeon™ Vega 3 Graphics,3,Yes,Yes,,
AMD Athlon™ 300U,AMD Athlon™ Processors,AMD Athlon™ Mobile Processors with Radeon™ Vega Graphics,Laptop,,2,4,3,5 (2 CPU + 3 GPU),2.4GHz,3.3GHz,,193KB,1MB,4MB,No,14nm,FP5,,,,15W,,105°C,2400MHz,,2,,1000 MHz,,Radeon™ Vega 3 Graphics,3,Yes,Yes,,
AMD Athlon™ 240GE,AMD Athlon™ Processors,AMD Athlon™ Desktop Processors with Radeon™ Vega Graphics,Desktop,,2,4,3,5 (2 CPU + 3 GPU),3.5GHz,,,192KB,1MB,4MB,No,14nm,AM4,,PCIe 3.0,,35W,,95°C,2667MHz,,2,,1000 MHz,,Radeon™ Vega 3 Graphics,3,Yes,Yes,,
AMD Athlon™ 220GE,AMD Athlon™ Processors,AMD Athlon™ Desktop Processors with Radeon™ Vega Graphics,Desktop,,2,4,3,5 (2 CPU + 3 GPU),3.4GHz,,,192KB,1MB,4MB,No,14nm,AM4,,PCIe 3.0,,35W,,95°C,2667MHz,,2,,1000 MHz,,Radeon™ Vega 3 Graphics,3,Yes,Yes,,
AMD Athlon™ 200GE,AMD Athlon™ Processors,AMD Athlon™ Desktop Processors with Radeon™ Vega Graphics,Desktop,,2,4,3,5 (2 CPU + 3 GPU),3.2GHz,,,192KB,1MB,4MB,No,14nm,AM4,,PCIe 3.0,,35W,,95°C,2667MHz,,2,,1000 MHz,,Radeon™ Vega 3 Graphics,3,Yes,Yes,,
A10-8700P with Radeon™ R6 Graphics,AMD A-Series Processors,AMD A10-Series APU for AIOs,All-in-One,,4,4,6,10 (4 CPU + 6 GPU),1.8GHz,3.2GHz,,,2MB,,No,28nm,FP4,,,,,,90°C,2133MHz,,2,,800 MHz,,AMD Radeon™ R6 Graphics,,Yes,Yes,,
A10-7890K with Radeon™ R7 Graphics and Wraith cooler,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,,8,12 (4 CPU + 8 GPU),4.1GHz,4.3GHz,,256KB,4MB,,Yes,28nm,FM2+,,,Wraith cooler,95W,,72.40°C,2133MHz,,2,,866 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,
A10-7870K with Radeon™ R7 Series,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,4,8,12 (4 CPU + 8 GPU),3.9GHz,4.1GHz,,256KB,4MB,,Yes,28nm,FM2+,,,,95W,,72.40°C,2133MHz,,2,,866 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,
A10-7870K with Radeon™ R7 Graphics and Near Silent Thermal Solution,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,,8,12 (4 CPU + 8 GPU),3.9GHz,4.1GHz,,256KB,4MB,,Yes,28nm,FM2+,,,Near Silent 125W,95W,,72.40°C,2133MHz,,2,,866 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,
A10-7860K with Radeon™ R7 Series,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,4,8,12 (4 CPU + 8 GPU),3.6GHz,4GHz,,256KB,4MB,,Yes,28nm,FM2+,,,,65W,45W/65WW,71.30°C,2133MHz,,2,,757 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,
A10-7860K with Radeon™ R7 Graphics and Near Silent Thermal Solution,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,4,8,12 (4 CPU + 8 GPU),3.6GHz,4GHz,,256KB,4MB,,Yes,28nm,FM2+,,,Near Silent 95W,65W,45W/65WW,71.30°C,2133MHz,,2,,757 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,
A10-7850K with Radeon™ R7 Series,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,4,8,12 (4 CPU + 8 GPU),3.7GHz,4GHz,,256KB,4MB,,Yes,28nm,FM2+,,,,95W,,72.40°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,
A10-7800 with Radeon™ R7 Series,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,4,8,12 (4 CPU + 8 GPU),3.5GHz,3.9GHz,,256KB,4MB,,No,28nm,FM2+,,,,,45W/65WW,71.30°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,
A10-7700K with Radeon™ R7 Series,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,4,6,10 (4 CPU + 6 GPU),3.4GHz,3.8GHz,,256KB,4MB,,Yes,28nm,FM2+,,,,,45W/65WW,72.40°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R7 Graphics,384,Yes,Yes,,
A10-7400P with Radeon™ R6 Graphics,AMD A-Series Processors,AMD A10-Series APU for Laptops,Laptop,,4,4,6,10 (4 CPU + 6 GPU),2.5GHz,3.4GHz,,,4MB,,No,28nm,FP3,,,,35W,,,1866MHz,,2,,654 MHz,,AMD Radeon™ R6 Graphics,384,Yes,Yes,,
A10-7300 with Radeon™ R6 Graphics,AMD A-Series Processors,AMD A10-Series APU for Laptops,Laptop,,4,4,6,10 (4 CPU + 6 GPU),1.9GHz,3.2GHz,,,4MB,,No,28nm,FP3,,,,20W,,,,,2,,553 MHz,,AMD Radeon™ R6 Graphics,,Yes,Yes,,
A10-6800K with Radeon™ HD 8670D,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,4,,,4.1GHz,4.4GHz,,192KB,4MB,,Yes,32nm SOI,FM2,,,,100W,,74°C,2133MHz,,2,,844 MHz,,AMD Radeon™ HD 8670D,384,Yes,Yes,,
A10-6800B with Radeon™ HD 8670D,AMD A-Series Processors,AMD Business Class - Quad-Core A10-Series APU for Desktops,Desktop,,4,4,,,4.1GHz,4.4GHz,,192KB,4MB,,No,32nm SOI,FM2,,,,45W,,74°C,2133MHz,,2,,844 MHz,,AMD Radeon™ HD 8670D,384,Yes,Yes,,
A10-6790K with Radeon™ HD 8670D,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,4,,,4GHz,4.3GHz,,192KB,4MB,,Yes,32nm SOI,FM2,,,,100W,,74°C,1866MHz,,2,,844 MHz,,AMD Radeon™ HD 8670D,384,Yes,Yes,,
A10-6790B with Radeon™ HD 8670D,AMD A-Series Processors,AMD Business Class - Quad-Core A10-Series APU for Desktops,Desktop,,4,4,,,4GHz,4.3GHz,,192KB,4MB,,No,32nm SOI,FM2,,,,45W,,74°C,1866MHz,,2,,844 MHz,,AMD Radeon™ HD 8670D,384,Yes,Yes,,
A10-6700T with Radeon™ HD 8650D,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,4,,,2.5GHz,3.5GHz,,192KB,4MB,,No,32nm SOI,FM2,,,,45W,,71.30°C,1866MHz,,2,,720 MHz,,AMD Radeon™ HD 8650D,384,Yes,Yes,,
A10-6700 with Radeon™ HD 8670D,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,4,,,3.7GHz,4.3GHz,,192KB,4MB,,No,32nm SOI,FM2,,,,65W,,71.30°C,1866MHz,,2,,844 MHz,,AMD Radeon™ HD 8670D,384,Yes,Yes,,
A10 PRO-7850B with Radeon™ R7 Graphics,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Desktops,Desktop,,4,4,8,12 (4 CPU + 8 GPU),3.7GHz,4GHz,,256KB,4MB,,No,28nm,FM2+,,,,95W,,72.40°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,
A10 PRO-7800B with Radeon™ R7 Graphics,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Desktops,Desktop,,4,4,8,12 (4 CPU + 8 GPU),3.5GHz,3.9GHz,,256KB,4MB,,No,28nm,FM2+,,,,65W,35W/65WW,71.30°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,
A10 PRO-7350B with Radeon™ R6 Graphics,AMD PRO A-Series Processors,AMD PRO A-Series A10 APU for Laptops,Laptop,,4,4,6,10 (4 CPU + 6 GPU),2.1GHz,3.3GHz,,,4MB,,No,28nm,FP3,,,,19W,,,1600MHz,,2,,553 MHz,,AMD Radeon™ R6 Graphics,384,Yes,Yes,,
A10 Micro-6700T with Radeon™ R6 Graphics,AMD A-Series Processors,AMD A10-Series APU for Laptops,"Laptop, Tablet",,4,4,,,2.2GHz,,,,2MB,,No,28nm,FT3b,,,,4.5W,,,1333MHz,,1,,,,AMD Radeon™ R6 Graphics,,Yes,Yes,,
A8-8600P with Radeon™ R6 Graphics,AMD A-Series Processors,AMD A8-Series APU for AIOs,All-in-One,,4,4,6,10 (4 CPU + 6 GPU),1.6GHz,3GHz,,,2MB,,No,28nm,FP4,,,,,,90°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R6 Graphics,,Yes,Yes,,
A8-7670K with Radeon™ R7 Graphics and Near Silent Thermal Solution,AMD A-Series Processors,AMD A8-Series APU for Desktops,Desktop,,4,4,6,10 (4 CPU + 6 GPU),3.6GHz,3.9GHz,,256KB,4MB,,Yes,28nm,FM2+,,,Near Silent 95W,95W,,72.40°C,2133MHz,,2,,757 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,
A8-7650K with Radeon™ R7 Series,AMD A-Series Processors,AMD A8-Series APU for Desktops,Desktop,,4,4,6,10 (4 CPU + 6 GPU),3.3GHz,3.8GHz,,256KB,4MB,,Yes,28nm,FM2+,,,,95W,,72.40°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R7 Graphics,384,Yes,Yes,,
A8-7650K with Radeon™ R7 Graphics and Near Silent Thermal Solution,AMD A-Series Processors,AMD A8-Series APU for Desktops,Desktop,,4,4,6,10 (4 CPU + 6 GPU),3.3GHz,3.8GHz,,256KB,4MB,,Yes,28nm,FM2+,,,Near Silent 95W,95W,,72.40°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,
A8-7600 with Radeon™ R7 Series,AMD A-Series Processors,AMD A8-Series APU for Desktops,Desktop,,4,4,6,10 (4 CPU + 6 GPU),3.1GHz,3.8GHz,,256KB,4MB,,No,28nm,FM2+,,,,65W,45W/65WW,71.30°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R7 Graphics,384,Yes,Yes,,
A8-7410 with Radeon™ R5 Graphics,AMD A-Series Processors,AMD A8-Series APU for Laptops,Laptop,,4,4,,,2.2GHz,2.5GHz,,,2MB,,No,28nm,FP4,,,,15W,,90°C,1866MHz,,1,,847 MHz,,AMD Radeon™ R5 Graphics,,Yes,Yes,,
A8-7200P with Radeon™ R5 Graphics,AMD A-Series Processors,AMD A8-Series APU for Laptops,Laptop,,4,4,4,8 (4 CPU + 4 GPU),2.4GHz,3.3GHz,,,4MB,,No,28nm,FP3,,,,100W,,,1866MHz,,2,,626 MHz,,AMD Radeon™ R5 Graphics,,Yes,Yes,,
A8-7100 with Radeon™ R5 Graphics,AMD A-Series Processors,AMD A8-Series APU for Laptops,Laptop,,4,4,4,8 (4 CPU + 4 GPU),1.8GHz,3GHz,,,4MB,,No,28nm,FP3,,,,20W,,,1600MHz,,2,,514 MHz,,AMD Radeon™ R5 Graphics,,Yes,Yes,,
A8-6600K with Radeon™ HD 8570D,AMD A-Series Processors,AMD A8-Series APU for Desktops,Desktop,,4,4,,,3.9GHz,4.2GHz,,192KB,4MB,,Yes,32nm SOI,FM2,,,,65W,,74°C,1866MHz,,2,,844 MHz,,AMD Radeon™ HD 8570D,256,Yes,Yes,,
A8-6500T with Radeon™ HD 8550D,AMD A-Series Processors,AMD A8-Series APU for Desktops,Desktop,,4,4,,,2.1GHz,3.1GHz,,192KB,4MB,,No,32nm SOI,FM2,,,,45W,,71.30°C,1866MHz,,2,,720 MHz,,AMD Radeon™ HD 8550D,256,Yes,Yes,,
A8-6500B with Radeon™ HD 8570D,AMD A-Series Processors,AMD Business Class - Quad-Core A8-Series APU for Desktops,Desktop,,4,4,,,3.5GHz,4.1GHz,,192KB,4MB,,No,32nm SOI,FM2,,,,65W,,71.30°C,1866MHz,,2,,800 MHz,,AMD Radeon™ HD 8570D,256,Yes,Yes,,
A8-6500 with Radeon™ HD 8570D,AMD A-Series Processors,AMD A8-Series APU for Desktops,Desktop,,4,4,,,3.5GHz,4.1GHz,,192KB,4MB,,No,32nm SOI,FM2,,,,65W,,71.30°C,1866MHz,,2,,800 MHz,,AMD Radeon™ HD 8570D,256,Yes,Yes,,
A8-6410 with Radeon™ R5 Graphics,AMD A-Series Processors,AMD A8-Series APU for Laptops,Laptop,,4,4,,,2GHz,2.4GHz,,,2MB,,No,28nm,FT3b,,,,15W,,90°C,1866MHz,,1,,847 MHz,,AMD Radeon™ R5 Graphics,,Yes,Yes,,
A8-6410 with Radeon™ R5 Graphics,AMD A-Series Processors,AMD A8-Series APU for AIOs,All-in-One,,4,4,,,2.2GHz,2.5GHz,,,2MB,,No,28nm,FT3b,,,,,,90°C,1866MHz,,1,,847 MHz,,AMD Radeon™ R5 Graphics,,Yes,Yes,,
A8 PRO-7600B with Radeon™ R7 Graphics,AMD PRO A-Series Processors,AMD PRO A-Series A8 APU for Desktops,Desktop,,4,4,6,10 (4 CPU + 6 GPU),3.1GHz,3.8GHz,,,4MB,,No,28nm,FM2+,,,,65W,35W/65WW,71.30°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R7 Graphics,384,Yes,Yes,,
A8 PRO-7150B with Radeon™ R5 Graphics,AMD PRO A-Series Processors,AMD PRO A-Series A8 APU for Laptops,Laptop,,4,4,6,10 (4 CPU + 6 GPU),1.9GHz,3.2GHz,,,4MB,,No,28nm,FP3,,,,100W,,,1600MHz,,2,,533 MHz,,AMD Radeon™ R5 Graphics,384,Yes,Yes,,
A6-8500P with Radeon™ R5 Graphics,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,,2,2,4,6 (2 CPU + 4 GPU),1.6GHz,3GHz,,,1MB,,No,28nm,FP4,,,,15W,,90°C,,,2,,800 MHz,,AMD Radeon™ R5 Graphics,,Yes,Yes,,
A6-8500P with Radeon™ R5 Graphics,AMD A-Series Processors,AMD A6-Series APU for AIOs,All-in-One,,2,2,4,6 (2 CPU + 4 GPU),1.6GHz,3GHz,,,1MB,,No,28nm,FP4,,,,,,90°C,,,2,,800 MHz,,AMD Radeon™ R5 Graphics,,Yes,Yes,,
A6-7470K with Radeon™ R5 Series,AMD A-Series Processors,AMD A6-Series APU for Desktops,Desktop,,2,,4,6 (2 CPU + 4 GPU),3.7GHz,4GHz,,256KB,1MB,,Yes,28nm,FM2+,,,,65W,45W/65WW,71.30°C,2133MHz,,2,,800 MHz,,AMD Radeon™ R5 Graphics,256,Yes,Yes,,
A6-7400K with Radeon™ R5 Series,AMD A-Series Processors,AMD A6-Series APU for Desktops,Desktop,,2,2,4,6 (2 CPU + 4 GPU),3.5GHz,3.9GHz,,128KB,1MB,,Yes,28nm,FM2+,,,,65W,45W/65WW,70°C,1866MHz,,2,,758 MHz,,AMD Radeon™ R5 Graphics,256,Yes,Yes,,
A6-7310 with Radeon™ R4 Graphics,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,,4,4,,,2GHz,2.4GHz,,,2MB,,No,28nm,FT3b,,,,15W,,90°C,1866MHz,,1,,800 MHz,,AMD Radeon™ R4 Graphics,,Yes,Yes,,
A6-7310 with Radeon™ R4 Graphics,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,,4,4,,,2GHz,2.4GHz,,,2MB,,No,28nm,FP4,,,,15W,,90°C,1866MHz,,1,,800 MHz,,AMD Radeon™ R4 Graphics,,Yes,Yes,,
A6-7310 with Radeon™ R4 Graphics,AMD A-Series Processors,AMD A6-Series APU for AIOs,All-in-One,,4,4,,,2GHz,2.4GHz,,,2MB,,No,28nm,FP4,,,,,,90°C,1866MHz,,1,,800 MHz,,AMD Radeon™ R4 Graphics,,Yes,Yes,,
A6-7000 with Radeon™ R4 Graphics,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,,2,2,3,5 (2 CPU + 3 GPU),2.2GHz,3GHz,,,1MB,,No,28nm,FT3,,,,17W,,,,,2,,533 MHz,,AMD Radeon™ R4 Graphics,,Yes,Yes,,
A6-6420K with Radeon™ HD 8470D,AMD A-Series Processors,AMD A6-Series APU for Desktops,Desktop,,2,2,,,4GHz,4.2GHz,,96KB,1MB,,Yes,32nm SOI,FM2,,,,65W,,70°C,1866MHz,,2,,800 MHz,,AMD Radeon™ HD 8470D,192,Yes,Yes,,
A6-6420B with Radeon™ HD 8470D,AMD A-Series Processors,AMD Business Class - Dual-Core A6-Series APU for Desktops,Desktop,,2,2,,,4GHz,4.2GHz,,96KB,1MB,,No,32nm SOI,FM2,,,,65W,,70°C,1866MHz,,2,,800 MHz,,AMD Radeon™ HD 8470D,192,Yes,Yes,,
A6-6400K with Radeon™ HD 8470D,AMD A-Series Processors,AMD A6-Series APU for Desktops,Desktop,,2,2,,,3.9GHz,4.1GHz,,96KB,1MB,,Yes,32nm SOI,FM2,,,,65W,,70°C,1866MHz,,2,,800 MHz,,AMD Radeon™ HD 8470D,192,Yes,Yes,,
A6-6400B with Radeon™ HD 8470D,AMD A-Series Processors,AMD Business Class - Dual-Core A6-Series APU for Desktops,Desktop,,2,2,,,3.9GHz,4.1GHz,,96KB,1MB,,No,32nm SOI,FM2,,,,65W,,70°C,1866MHz,,2,,800 MHz,,AMD Radeon™ HD 8470D,192,Yes,Yes,,
A6-6310 with Radeon™ R4 Graphics,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,,4,4,,,2.4GHz,,,,2MB,,No,28nm,FT3b,,,,15W,,,1865MHz,,1,,,,AMD Radeon™ R4 Graphics,,Yes,Yes,,
