Model,Family,Line,Platform,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock,All Core Boost Speed,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,Socket Count,PCI Express® Version AMD EPYC™ 7002 Series,Thermal Solution PIB,Default TDP / TDP AMD EPYC™ 7002 Series,cTDP,Max Temps,System Memory Specification AMD EPYC™ 7002 Series,System Memory Type,Memory Channels,Per Socket Mem BW,Graphics Frequency,GPU Base,Graphics Model,Graphics Core Count,DisplayPort,HDMI,DVI,VGA
AMD Ryzen™ 7 3700U,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega Graphics,Laptop,Q1 2019,4,8,10,,2.3GHz,4GHz,,384KB,2MB,4MB,No,12nm,FP5,,PCIe 3.0,n/a,15W,12-35W,105°C,2400MHz,,2,,1400 MHz,,Radeon™ RX Vega 10 Graphics,10,Yes,Yes,,
AMD Ryzen™ 7 2800H,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega Graphics,Laptop,9/10/2018,4,8,11,,3.3GHz,3.8GHz,,192KB,2MB,4MB,No,14nm,FP5,,PCIe 3.0,n/a,45W,35-54W,95°C,3200MHz,,2,,1300 MHz,,Radeon™ RX Vega 11 Graphics,11,Yes,Yes,,
AMD Ryzen™ 7 2700X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,04/19/2018,8,16,,,3.7GHz,4.3GHz,,768KB,4MB,16MB,Yes,12nm FinFET,AM4,,PCIe 3.0 x16,Wraith Prism with RGB LED,105W,,85°C,2933MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 7 2700U,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega Graphics,Laptop,10/26/2017,4,8,10,,2.2GHz,3.8GHz,,384KB,2MB,4MB,No,14nm,FP5,,PCIe 3.0,n/a,15W,12-25W,95°C,2400MHz,,2,,1300 MHz,,Radeon™ RX Vega 10 Graphics,10,Yes,Yes,,
AMD Ryzen™ 7 2700E Processor,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,September 2018,8,16,,,2.8GHz,4GHz,,768KB,4MB,16MB,Yes,12nm,AM4,,PCIe 3.0,Not included,45W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 7 2700,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,04/19/2018,8,16,,,3.2GHz,4.1GHz,,768KB,4MB,16MB,Yes,12nm FinFET,AM4,,PCIe 3.0 x16,Wraith Spire with RGB LED,65W,,95°C,2933MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 7 1800X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,3/2/2017,8,16,,,3.6GHz,4GHz,,768KB,4MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Not included,95W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 7 1700X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,3/2/2017,8,16,,,3.4GHz,3.8GHz,,768KB,4MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Not included,95W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 7 1700 Processor,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,3/2/2017,8,16,,,3GHz,3.7GHz,,768KB,4MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Wraith Spire (LED),65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 5 PRO 3500U,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO Mobile Processors with Radeon™ Vega Graphics,Laptop,4/8/2019,4,8,8,,2.1GHz,3.7GHz,,384KB,2MB,4MB,No,12nm,FP5,,PCIe 3.0,n/a,15W,12-25W,95°C,2400MHz,,2,,1200 MHz,,Radeon™ Vega 8 Graphics,8,Yes,Yes,,
AMD Ryzen™ 5 PRO 2600,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO Desktop Processors,Desktop,,6,12,,,3.4GHz,3.9GHz,,576KB,3MB,16MB,Yes,12nm,AM4,,PCIe 3.0,Not included,65W,,95°C,2933MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,
AMD Ryzen™ 5 PRO 2500U,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO Mobile Processors with Radeon™ Vega Graphics,Laptop,Q1 2019,4,8,8,,2GHz,3.6GHz,,384KB,2MB,4MB,No,14nm,FP5,,PCIe 3.0,n/a,15W,12-25W,95°C,2400MHz,,2,,1100 MHz,,Radeon™ Vega 8 Graphics,8,Yes,Yes,,
