developer,votes
Crash Wave Games Inc.,35
Mirabolis Studios,35
toR gaming,35
Queen Bee Games,35
Crystal Empire Games,34
Yuna Studio,34
M♂NLY,34
Hammer Games,34
Playito.com,34
FX Game Studio,34
BYU Animation -  Class of 2016,34
Monkeys Lab.,34
Post Mortem Pixels,34
Excalibur,34
雷武游戏,34
Adam Tarnowski,34
Amegami,34
SimpleLogic,33
High Tale Studios,33
Daylight Studios,33
HQGames,33
Quite Different Mechanics,33
chickeninthecornstudio,33
CookieByte Entertainment,33
FlatRedBall,33
Starfish-SD Inc,33
Light Vision Interactive,33
Winter Wolves,33
5minlab,32
Daniel Jonathan Bourke,32
Light Road Games,32
Tripeaks,32
Hidden Achievement LLC,32
LW Games,32
Sergey Bobrov,32
Goatee Games,32
toxtronyx interactive GmbH,32
Protection Games,31
Sonic Sloth,31
HelixFox Games,31
Super Squared,31
Kobra Studio,31
yeswecamp,31
Oliver Keppelmüller,31
Snap Finger Click,31
Ozark Softscape,31
ChessBase,31
Han Zhiyu,31
B2Expand,31
iMaxGen,31
Evan Rogers,31
hallunazigames,31
GameDevLab,31
Game Studio Abraham Stolk Inc.,31
Pixelz Games,31
Inutaishos,30
Cryo Interactive,30
Yaeko,30
Cinemaware,30
GeexGames,30
CREW Studio Krüger UG,30
Finite Reflection Studios,30
Eversim,30
FX Games,30
Infinite Loop Games,30
STREAMWORKS,30
"Rockwell Studios, LLC",29
Firstborn Games,29
BYCODEC TEKNOLOJI LTD,29
Nemo Studios,29
Perilous Orbit,29
Resilient Games Ltd.,29
PlaySide VR,29
Aggroblakh,29
Devil's Dozen Games,29
Dingo Dango,29
Mega Boss Game Studio,29
StarworkGC,29
New Bridge Games,29
RuneStorm,29
etaxoft,29
Strides Interactive,29
Mykel Flynn,29
Origin8 Technologies Ltd,29
BadWolf Games,29
自由愉悦小黄猫(Free pleasure little yellow cat),29
SunRay Games,29
Diceroll Studios,28
Trophy Games ApS,28
Armatur Games,28
webgames,28
Phr00t's Software,28
Golden Unicorn Gaming Inc,28
Blue Giraffe,28
Patriot Game Studio,28
Bony Yousuf,28
Meta Sauce,28
AEL Entertainment,28
Class-X Games,28
Midwest Video Games,28
Smart Online Games,28
vertex4 entertainment ltd.,28
Beast Mode Games,28
Coronado Games,27
Stitch Media,27
Niels Bauer Games,27
Funforge,27
Thrill Pill Games,27
商人日记,27
SGS Team,27
We Are Fuzzy,27
Three Phase Interactive Pty Ltd,27
Juri Schupilo,27
Alina Digital,27
Light Arc Studio Ltd,27
InsGames,27
k.Song Tan,27
The Secret Pie,27
Renaissance Game Studio,27
Gamedust Sp. z o.o.,26
Narko Games,26
slizer88,26
Devdan Games,26
Happy Hobgoblin,26
Bacq Stellan,26
Winturn Games,26
Loomus Games,26
EmpromGame,26
NAISU,26
Stijn Van Cauter,26
gtscom,26
Isotope 244 LLC,26
FastGame,26
Axis Games,26
Slashware Interactive,26
Connor O.R.T. Linning,26
kunst-stoff GmbH,25
Creatio 49,25
Selva Interactive,25
灰猫,25
Paul Bird,25
MagicalTimeBean,25
WoksOnStudios,25
Hunchback Studio,25
MindWalker Games,25
Nawia Games,25
Completely Fair Games LLC,25
Blaster,25
Duke Studio,25
"Defend the Cake, LLC",25
StudioGIW,24
SaintXi,24
ShortRound Games,24
Cocopo,24
Political Games LLC,24
DaGGaSoft,24
Killer Bee Software,24
Educational Games,24
Persera Software Inc.,24
Plastic Games,24
Hanakai Studio,24
Oryzhon Studios,24
Refactored Games OÜ,24
Orfeas Game Studio,24
AIVIK LLC,24
TCR,24
Totem Games,24
Nuno Donato,24
Experiment 7,24
Booming Games,24
Fragment Production Ltd.,24
Anawiki Games,24
Adam Thompson,24
Metaphore Games SAS,24
Checkmark Games,23
Team Future LLC,23
tamationgames,23
Artists Entertainment,23
Baby Duka,23
Taco Truck Games,23
Legalase studio,23
Benjamin Rommel Games,23
Hart Laboratories LLC,23
Ladia Group,23
Ogopogoid Entertainment,23
Tom Kingston,23
StormCube Games,23
Archiact,23
Yang Sun,23
Tiny Titan Studios,23
Valravn Games,23
Wee Free Studio,23
Igor Rashkuev,23
"Pixel Barrage Entertainment, Inc.",22
ShotX Studio,22
Hazardous Software Inc.,22
Running Pillow,22
Xigma Games,22
Urban Goose Games,22
Benjamin Soulé,22
whoopsGames,22
Craig Daversa,22
Subtle Games,22
MDA Digital,22
Iocaine Studios,22
Stellar Sage Games,22
Awoker Games,22
Bawu Team,22
Epic Devs LLC,22
Aurox Studios,22
Gamalocus Studios,22
4 Door Lemon,22
RowlesCorp Studios,22
vidiludi games and entertainment,22
WOMBO COMBO GAMES INC.,22
The 3DO Company,22
Orch Star Studios,22
Downward Viral,22
IMPIRESOFT,22
CHG,21
Ambiera,21
Yustas Game Studio,21
Ominous Entertainment,21
inVantage Technologies,21
Animus Interactive Inc,21
VoxelStorm,21
Dead Drop Studios LLC,21
ImperiumGame,21
Gametek Brasil,21
Yo_Serjio,21
Sandspire Interactive,21
vikingfabian.com,21
Steedie,21
Fullmetal Developer,21
bonefrog,21
Jens P. Behrens,21
Gameloft,21
AirWave Games,21
TinyMob Games,21
Stereo7 Games,21
CHOU CHENG LU,21
"Soap Interactive, Lion Game Lion",21
Van der Veer Games,21
Pine Street Codeworks LLC,21
Workroom7,20
Large Visible Machine,20
Neverworks Games,20
BlewScreen,20
Ceylon Entertainment,20
Zentrifuge,20
BitCutter Studios Inc.,20
chris_antoni,20
Vashta Entertainment,20
Ice Code Games,20
Lunisky studio,20
BplusGames,20
Catness Game Studios,20
SCS Software,20
Hatfuls Games,20
Far Mills,20
Monkeynetics,20
"""Project """"The Game""""""",20
Domas Sabockis,20
Nonadecimal Creative,20
Big Red Planet,20
Lotte|EoD,20
UnitedIndie,20
Maris Ozols,20
热泉 RedSpring,20
Codrer,20
Eggon Srl,20
Comrades Inc.,20
Guys From Andromeda LLC,20
VR Features,19
Wonderbox Games,19
Christopher Cinq-Mars Jarvis,19
Green Moon Games,19
NIKITA ONLINE,19
Marker Limited,19
2Pi Interactive Pvt. Ltd.,19
Illyriad Games,19
Delum Studios,19
RiceMaster,19
Morozov Sergey,19
"Iocane Games, LLC",19
Vulkano Forge,19
Unphysical Machinery,19
PlayColorfulGames,19
Jajaben Games,19
Jonni Hirst,19
Hio Giang,19
Witching Hour Studios,19
DYNAMICNEXT,19
Huebotics,19
MyDreamForever,19
.M.Y.W.,19
Growing Grass Studio,19
Very Simple Idea Studios,19
Pedro Zea,19
tengenstudio,19
Skeleton Crew Studios,19
Tailwind Games,19
Schickmair Games,19
Oblivionburn Productions,19
Hellride Games,19
Ratalaika Games S.L.,19
Triple Tree Studio,18
Cool Mini or Not,18
David Nguyen,18
Pehesse,18
Genetix Studio,18
SOMATIC,18
REAL Co.Ltd,18
Matrix Games,18
voldan,18
Polska Lemon Ltd.,18
Retrocade.net,18
Cybergrotex,18
rese,18
HoCWar,18
MagicK,18
Ranmantaru Games,18
Bidoniera Games,18
Fantasy Li,18
Superstruct,18
SilverBlade,18
iconical Ltd.,18
Blue  Blaze Gaming,18
Matthew Jennings,18
Team Full Sail,18
Endwise,18
Dumbfounded,18
Studio Gier,18
TinMoon Studios,18
Mixel,17
Easy game,17
"Silverware Games, Inc.",17
Vertigo Games,17
Pixelsplit,17
Windybeard,17
夕,17
Deep Dive Interactive,17
JollyCo,17
Modern Dream,17
Theodore Palser,17
Killed Pixel Games,17
Intaglyph,17
Snipefish Entertainment,17
SpinVR,17
Mark Begenisich,17
Broken Arms Games Pty Ltd,17
阿达游戏,17
"Well Played Studio, Inc",17
Empyrean Interactive,17
Miro Straka,17
Sticky Studios,17
SoftCoder,17
Turbo Tape Games,17
Cortopia,17
Inclusion Studios,17
Neetpia,17
Ntronium Games,17
DPAD-FTW,17
PortaPlay,17
Gamexy,17
Dead Genre Studios,17
Mechabit Ltd,16
nkm,16
Rocktastic Games,16
Brain and Nerd Ltd,16
Virtual World Arcade,16
otter otter game,16
Disruptor Beam Inc.,16
Zeno Rogue,16
Game Master LLC,16
Gus Martin,16
Zolden Games,16
Afterthought Games,16
Frudelsoft,16
Reky Studios,16
Freshfield Studios,16
Cydonian Games,16
Uncaged Studios,16
Baronnerie Games,16
Retro Army Limited,16
Dust Storm Entertainment,16
Play Spirit Limited,16
PulPul Games,16
All Parts Connected,16
BlackMoon Design,16
Inexplicable Games,16
SIMAGINATION,16
IndieKeep Games,16
不想上班工作室™,16
AurealStudio,15
no_rest,15
Minor Key Games,15
WeMakeApp Studio,15
Kerry Batts,15
Fat Loot Games,15
Sokolab,15
Silence Game,15
Jason Rohrer,15
Recotechnology S.L.,15
Lunatic Pixels,15
CCYY,15
Minimallab,15
Anti-Ded GameDev,15
zeroplaystone,15
The Dragonloft,15
Ludus Studio,15
Deep Voodoo Gaming,15
Mac El Oliver,15
Los Exaltados,15
RIP Studios LLC,15
spdr870,15
Göksan Güner,15
Maulidan Games,15
Skyjaz Games,15
NyberRoar Interactive,15
Xuse,15
Kevin Yang Games,15
The Sociopath Software,15
Nerial,15
ARTIFACTS,15
Unterrainer Informatik OG,15
Tribetoy,15
Madowl Games,15
Solid9 Studio,15
CYCLOPS,15
七月九日,15
Fizzure Entertainment,15
C63 Industries,15
Z9K Games,15
Artyom Laletin,15
Space Bullet Dynamics Corporation,15
Mortis Games,15
desunoya,14
gbelo Games,14
The House of Fables,14
Fourfold Games,14
Stylus Software,14
FX Games Media,14
Nova Ideas,14
Funghisoft,14
G. Malta,14
StelloHexis,14
ChillX Ltd,14
Ivan Pestrikov,14
Axe Studio,14
Monolith Productions,14
Interama - Interactive Technology,14
Dave Gumble,14
The Impossible Object,14
Another Yeti,14
Playniac,14
ID Card,14
SystemSoft Alpha Cooperation,14
Sleepless Clinic,14
Jarrah Technology,14
ErayTek,14
Visper Games,14
Super Suite Studios,14
WnMStudio,14
Sim155 Limited,14
5th VR,14
Gory Detail Limited,14
Fancy Fish Games,14
QEGAME,14
OMNIDREAM CREATIONS,13
New Vector Gaming,13
Dima Kiva,13
Draconus Entertainment Ltd,13
Broxilia LTD,13
KAVA Game Studio,13
Studio Clangore,13
Angel Carriola,13
Sliverbroom Studios,13
Jeff Trier,13
Gamesoft,13
Seemingly Pointless,13
Caleb Chalmers,13
Alawar Stargaze,13
Helmi Bastami,13
ANG People s.r.o.,13
reMaginarium,13
MindArk PE AB,13
Spiderwork Games,13
Forester Games,13
Zanardi and Liza,13
Fever Game Studios,13
Uruca Game Studio,13
Hot Byte Games,13
Seraphim Creations,13
Stochastic Lints,13
xixgames,13
Solidware Studios,13
Redox Entertainment Inc,13
CapPlay,13
Juvty Worlds Ltd.,13
Yheeky Games,13
Pippala Games,13
Eugene Makashov,13
Jet Set Games,13
Esteran,13
Black Deck Crew,13
DHTstudios LLC,12
Brutal Muse Studio,12
Kacper Stasiełuk,12
John Wizard,12
Jötunn Games,12
Chaphat,12
Estudio Ábrego,12
MC Games,12
Wolfgang Lueger,12
Lightfoot Brothers,12
Prince Game Studio,12
Kawaiisun Games,12
Witch Laboratory,12
Jayanam,12
Denizen Seven,12
Fellstrike Games,12
G-OLD,12
BufoProject,12
Bat Byte,12
ArcticFox223,12
Childish Things Ltd,12
"Offworld Games, LLC",12
VoleR Creative,12
Frostcloud Studios,12
Codex Worlds,12
MPixels,12
Zotnip,12
Michaela Laws,12
Prey Interactive,12
NEXION,12
Nick Helweg,12
StarSystemStudios™,12
dsquare,12
Jugilus,12
Aatlantis Code,12
Firebrush Studios,12
Vasily Wosck,12
Matt Gadient,11
Logos Universe,11
altairworks,11
Wind Jester Games,11
橘喵喵,11
Jumb-O-Fun Games Inc,11
Mercator,11
Ancient War Studios,11
Stuido Studios,11
WobblyTrout,11
Dudarev Alexandr Vladimirovich,11
Element Studios,11
Semen Rodin,11
阿龟与阿飞,11
Rotatipyra,11
mindfungus,11
Specular Theory,11
Taploft Sp. z o.o.,11
OrangeGames,11
D4 Laboratory,11
Studio Wumpus,11
SaFiKiK,11
Bytro Labs GmbH,11
Astralax,11
Ponywolf,11
Flightless,11
"Element Games, LLC",11
Travian Games GmbH,11
Vionsoft,11
一杯烟雨游戏工作室,11
W3 Studios,11
Alexander Tavintsev,11
SmartArt Game Studio,11
Tellurion Mobile,11
The Revills Games,11
Labrodex Inc,11
HGames-ArtWorks,11
Munchkin's Lair,11
Errigar Games,11
Lost The Game Studios,11
Eric Sun,11
Rocket Monster Games,11
Eutechnyx,11
Laugical Games,11
Whiskeybarrel Studios,11
Mímir Studio,11
Dark Roast Entertainment,11
Aaron Matthies,11
Abyssal Arts Ltd.,10
CASGames,10
"Whim Independent Studios, LLC",10
Tuwi Michael Nannings,10
Playtap Games,10
GamerGG,10
Firebase Industries Ltd.,10
Kiz Studios,10
Systence Games,10
"FunnerSoft, LLC",10
One Up Plus Entertainment,10
咸鱼工作室,10
Grey Wolf Entertainment,10
WayWay,10
Game Mechanics LLC,10
Tesseract Interactive,10
Iron Helmet Games,10
Piao Jingfu,10
NaA Studios,10
Craig Gibbs,10
Envision Entertainment,10
白信鸽工作室,10
Japster's Cavern,10
Nimbly Games,10
KevinTheWolfy,10
Miracle Gates Entertainment,10
Yüksekolan,10
Nemoïd Apps,10
AppyArt Games,10
Zirbry Studio,10
AllMySkyStudio,10
Serhii Vitukhin,10
Dewdrop Games,10
Smm,10
Analog Casual Studios,10
"WolfShipGames Co., Ltd.",10
Lastwhirlwind,10
Rogue Earth LLC,10
lvkeai,10
Yosemite Entertainment,10
Nodbrim Interactive,10
Static City Games,10
Aera Studios,10
8-bit development,10
Gilded Skull Games,10
Games Up,10
DaTigerGame,10
Schell Games,10
David Mccue,10
Sandlot Games,10
Freetale,10
Jether,10
Lions Crayons Games,10
GamestormVR,10
Odd Comet Games,9
16 Swans,9
Curiosity Computing,9
Hannes Trebbin,9
Zebec Games,9
Roman Kozhukhov,9
Lycian Studio,9
Hexdraw,9
MoaCube,9
CKS Tactical,9
DoubleC Games,9
CrazyKraken,9
深圳中青宝互动网络股份有限公司,9
Daniel Kim,9
b movie games,9
Artefacts Studio,9
Faritengames,9
"Mindware Co.,Ltd.",9
irritatingFLY studio,9
Odd Ocelot Games,9
Meteor Shock,9
Matt Glanville,9
Tomb Team,9
Tabc3dd,9
Perchang,9
飞鹰互娱,9
GoldFire Studios,9
bad monkee,9
OneOcean LLC,9
Elllinia games,9
Conifer Games,9
Cienart Studios,9
Red Fox Game Studios,9
Labyrinthine,9
MightyCodeDragon,9
Gestmorph Games,9
x0to1,9
Clecota Games,9
Wouter van Oortmerssen,9
Remi George,9
StarvingIndieDeveloper,9
DrM@$,9
Sparse GameDev,9
Fall Damage,9
Gal Hajaj,9
Canu Arts,9
Lightning Zebra,9
"Filip Dusek, Empty Keys",9
King Crow Studios,9
Spiele-Palast GmbH,9
Nanoleptic Games,9
Katta Games,9
Toyman,9
Sacred Walrus,9
Blowfish Studios,9
Shoor Games,9
Tiny Ghost Studios,9
Pixel Battery,9
IIIDA Interactive,9
CoolHappy-Game,9
Yustas Games Studio,9
Meka Games,9
Springloaded,9
Nine Tales Digital,9
Ethan Waite,9
Luis Eduardo Guedes Martins,9
SkyGoblin,9
Monster Tree,9
wei,9
Mangobile,9
Black Hand Studio,9
Viny Game Studios,8
ZBO interactive technology,8
Outlaw Wars,8
Heavy Safe Studios,8
Delmunsoft,8
MKSM Design LLC,8
Scoria Studios,8
Great God,8
Rahmat Nata Djaja,8
Not-So Classic Games,8
STEEL-TEAM,8
Xuanjin Studio,8
Monkeybin AS,8
Crafty Studios,8
Why Not Games,8
{COMPANY_NAME_GOES_HERE},8
Max Grindebäck,8
Coding Caveman,8
SilverDam™,8
Enki,8
DNZY Games,8
GKT Studios Entertainment,8
Okugi Studio,8
Freeway Interactive,8
Seems Good Copmany,8
Intermediaware,8
Risen Games,8
Dungeonation,8
Mythical Alterno,8
3G:Games,8
Sachonski,8
ChillFun,8
ELF,8
Gameface Games Ltd,8
Dreamreason,8
Elmwood Game Studios,8
Mythic Chest,8
IKINA GAMES,8
Fire Dragon Studios,8
Deeplink Studios,8
Darkmatter Games,8
Cloaz Studio,8
Katus Game,8
iVRstudio,8
Lorenzo Bellincampi,8
BobTheShoplifter,8
Project_lelz,8
PoRovoz Studios,8
Risen Phoenix Studios,8
DyingCat,8
Correcture Games AB,8
GuraShop,8
Recreat4,8
Refocus Solutions,8
Lucid Silence Games,8
New Orbit Games,8
INVIVO Communications,8
Wicked Cake Games,8
Vanl,8
Nordcurrent,7
Frima,7
Bionic Pony,7
Skylar Pniewski,7
Riveted Games,7
Worthing & Moncrieff,7
Ape Apps,7
Qumaron,7
Baltica Games,7
Ben Strijbos,7
Team Syukino,7
Blue Mana,7
Sub Orbital Software,7
Tencent Games,7
Milan Toth,7
Studio Nyx,7
Armoured Beans,7
Holotna,7
Niubility Concept,7
Rhino Games Ireland,7
Fever Pitch Studios,7
meokigame,7
"Mika Mobile, Inc.",7
Classy Yak Game Studio,7
Slavitica,7
Chute Apps,7
Open World Interactive,7
Cherry Bloom,7
Arise,7
Binary Jellyfish,7
Overcurfew,7
Clockwork Origins,7
oblomysh,7
Black Poodle Entertainment,7
DreamsSoftGames,7
Colossal Games,7
Fabrice BIZEC,7
Thor Gaming,7
Maru Games,7
Gyro-Games Inc.,7
EntwicklerX,7
Game Mechanic Studios,7
Andy Jurko,7
窝窝社,7
Clear Ink Studios,7
Stapleton,7
Magic Chopstick Games,7
Skanerbotten,7
Jan Pabisiak,7
Kresimir Cvitanovic,7
Applepine Games,7
betamaximus-128,7
Absorb Reality,7
Black Flag Studios,7
"Babaroga, LLC",7
ByteRockers' Games,7
ChessBase GmbH,7
David Ruttan,6
SunkenFish,6
Spike Nail Studio,6
Studio Desgraff,6
Rail Slave Games,6
BUG-Studio,6
Geek Games,6
Burning Pick Entertainment,6
Quicksilver Software,6
Simurg Games,6
Mark Sowders,6
Abbeytek Ltd,6
Arrible,6
Tomi Syväjärvi,6
Acquire,6
Snapjaw Games GmbH,6
Quantum Soup Studios,6
万族游戏,6
LongGe,6
Arjuna Games,6
Masakazu Yanai,6
Nylon Blonde,6
A.Lepunov,6
UV Games Ltd,6
Cannibal Interactive,6
Paul Kearley,6
Ilya Gubin,6
Christoffer Ryrvall,6
Burgee Games,6
Ratloop Games Canada,6
Icy Donut,6
"2,000 Damage",6
GameChain,6
Samaritan Studios,6
Umix Studios,6
Persona and Pixel studio,6
Jumibois,6
Pok&Co,6
Toby Clark,6
Silky Smooth Studio,6
Studio Baikin,6
Rappid Studios,6
Lord Imperio,6
Ten Percent Red,6
Mad Vulture Games,6
Jovian Industries,6
Tangled Mess Games,6
Li Changchun,6
Reload Game Studio,6
Whitefishgames,6
ALIENS Corporation,6
Serious Games Interactive,6
Philippe Forgeur,6
Craze Creative Studios,6
Tetabester,6
games.Sharbit,6
Patrick Scott,6
So Dank Studio,6
Big Fish Studios,6
TreeView Studios,6
QLOC,6
zoocros,5
Big Fun Games,5
Peoleo Entertainment,5
GeneGames,5
Xatrix Entertainment,5
Diego Rodrigues,5
Danil Kapylov,5
Curveball Games,5
ExclexGame,5
Utopia Dream Entertainment Alliance (Pty) Ltd - South Africa,5
Computer Artworks,5
CoaguCo Industries,5
Patchwork Games,5
Daniel Erhardt,5
Digital Future Lab,5
Auraro,5
Hunted Cow Studios,5
Eldritch Phantasmagoric Games,5
Soaphog,5
He Wenjie,5
Chessbase,5
BarelyEntertainment,5
Gamesandapps,5
Adage Games,5
LIUTING,5
Darren N Lory,5
Games Faction,5
"Mantis-Eye Labs, LLC",5
MassDiGI,5
Default Software LLC,5
Kajak Games,5
EviceGames,5
Brian Hockenmaier,5
Spark VR,5
aftermonk,5
Z.A.Games,5
Aweswan studios,5
RedZone Studios LLC,5
Resi,5
Chasing Carrots,5
VRobot,5
FallenMaster,5
562 Interactive,5
MUTT Studio,5
OMAG Official,5
On The Wall Entertainment,5
ZekGame,5
哈视奇科技,5
Casualogic,5
Martin Mitov,5
slimefriend,5
Ultraint,5
Semi Sağlam,5
Koksny.com,5
Glass Cat Studios,5
Moral Anxiety Studio,5
Jaibo Games,5
"MyDream Interactive, Inc.",5
Craft Game Studio,5
Flying Panjandrum / ふらいんぐパンジャンドラム,5
Peacock Dreams Games,5
Adreamation Games Studio,5
Splout Ltd.,5
Lundar Games,5
Francesco Trovato,5
Vast Reality,5
Andrey Haritonov,5
Andrew Rowe,5
Daniel Bedrich,5
Andrey Scanarri (Scanarri),5
Yomu,5
James Flannery,5
TrerPlay,5
RAWR Lab,5
Anino Games,5
GameOn Production,5
Polymorphic Games,5
Tactichaos,5
Jake Peng,5
Challenge Yourself Gaming,5
Ibrahim Indra Baskara,5
"MidnightCoffee, Inc.",5
Homemade Games,5
Baked Games,5
Monkeys Tales Studio,5
Drowning Monkeys Games,5
Echoboom S.L.,5
Big Dorks Entertainment,5
Epotech,5
BRAINEART,5
Blueberry Studio,4
Renxiang Game,4
Shortfuse Studio,4
Hikati Games,4
Laurens van Roomen,4
Sleepy Spider Studios,4
Snow Moose Entertainment,4
视趣互动,4
Gareloch Games,4
4ShawGames,4
LeeroyLin,4
Fratboy Entertainment,4
Dogless Head Games,4
天才小学生,4
bitBerg,4
Kenny Sun,4
Daisu Games,4
"Loud King Studios, LLC",4
Mlyst,4
LaserStone,4
Mahjong Game,4
ADB,4
Josh,4
Molegato,4
Epic LLama,4
Antropi,4
Pixelbomb Games,4
Lapusanu Patriciu,4
Salsawi,4
Daniel Rychlý,4
Sugarsnapp Games,4
JaudaLabs,4
Armadillo Game Studios,4
ColloseusX,4
Acerio Games,4
GreenGasGames,4
StainlessHeart,4
Peter Hrdy,4
CREATIV GAME DEVELOPER LLC.,4
Alfa-Omega,4
Radiance Games,4
Alex Thomas,4
David Donarumo,4
Two thousand and one entertainment studio,4
crowgames UG (haftungsbeschränkt),4
Global defense company,4
Zephyo,4
Rakesh Malik,4
Rainware,4
Xefier Games Inc.,4
Dreambox,4
Heatbox Games,4
"Shanghai Fengsheng Technology Co.,Ltd.",4
Cubic Bit,4
Ulysses Games,4
Michael Lampel,4
Squidpunch Studios,4
SUNYU Software,4
Leapdoctor Games,4
302 Interactive,4
Poor Ugly Dwarf,4
Almighty Games,4
Voronoi Games,4
SteelSeed,4
FunArouGames,4
CoolGame,4
RLTY CHK,4
Circuit Hive,4
Prime Games,4
Paleno Games,4
RepkaTechStudio,4
Cateia Games,4
Ian Williams,4
Blueshift Media,4
Pixel After Pixel,4
Ninja Whale Studios,4
Shiny Entertainment,4
Fun Guy Apps,4
Independent Arts Software GmbH,4
JhonGames,4
Virtual Bridgeworks,4
SnagBox Studio,4
Subdream Studios,4
Galdor Studios,4
SIA Next Level,4
Quantum Productions,4
Space Fractal,4
Dragom,4
1888 Games,4
Rufoid AB,4
Stephen Wu,4
"Subaltern Games, LLC",4
Brave Wolf Studio,4
Dobest Studio,4
Tsunehiko Shimazu,4
Visumeca Games,4
AppleCoffee,4
Dream Real,4
Lufthamn,3
Kiritsu Games,3
Education These Days Ltd,3
Brrrainz Incorporated,3
Ingeniousfun,3
FeatherFan,3
56 Game Studios,3
Lionsart,3
Missing Sentinel Software,3
Ponomarev Denis,3
beishizixin,3
CG Creations,3
Winter's Chill Studio,3
Norain Games,3
Muggle,3
Unigine Corp.,3
.ez Games,3
"Wicked Fun, Inc.",3
Royal Donut,3
Phobetor,3
Genesz,3
Drew Radley,3
racoonbytes,3
Fedor Votrin,3
Brian Guidarini,3
Curious Dimensions Ltd,3
Onefurinthebox,3
Metropolis,3
"Escape Hatch Entertainment,LLC",3
Hifire Game Studio,3
Winglett Entertainment,3
Topstitch Games,3
"Quicksilver Software, Inc.",3
Gamesare,3
Pixel Draw,3
TealDev,3
Adam Hebert,3
LastnOni,3
Finalboss game studio,3
Viistopro,3
Galaxy Game Studio,3
Team Monad,3
EF Universe Games LLC,3
PrimeBit Games S.A.,3
TK Studio,3
Sageose,3
Alpha Strike Games Limited,3
Luiz Felipe Da Silva Marian,3
Parallel Intersection Studio,3
Televisor,3
"Precision Games, LLC",3
liuguowang,3
Bartosz Bialek,3
Hugebot!,3
Chronos VR,3
ReaverGames Ltd.,3
SRM Games,3
陌上科技,3
Pixel Art Monster - Color by Number,3
Wonderful Tree Studio,3
Rifat Erdoğan,3
Corwin Peters,3
Ryan Carlos,3
Orator Games,3
PodShoh Studio,3
Fatcat Games,3
piximo interactive,3
Frost Studios,3
Impulse Games,3
WVV-Games.com,3
China Sky Carving Game,3
Crazysoft Limited,3
FailoutGames,3
Ross Edgar,3
Charlie Fleed,3
Crispy Software Development,3
BratAndronik,3
Georgian Opariuc,3
BlackOpzFX,3
Batu Games LLC,3
7 Generation Games,3
Evoluta Studio,3
Blot Interactive,3
MediaPod,3
PSOCat,3
Lazy Friday Studio,3
SEGA Hardlight™,3
Monocool Interactive,3
Elijah Goering,3
peter8031983,3
cybercritics,3
Speedrobo Games,3
Fevolution Innovation Inc.,3
Gamegrustudio,3
Scribe,3
蛋炒饭,3
AkriGames,3
成都小微云联 LittleV,3
Gazzapper Games,3
Paper Rose Games,3
Juicy Melons Inc.,3
Aslan Game Studio,3
Eggy,3
Samuel Sales Gomes,3
John McCann,3
Druid Technologies,3
PNxDesigns,3
Teamkerberos,3
FrozenStudio,3
rokaplay,2
KMA GAMES,2
Fatmoth,2
Jump Start Games,2
Jack,2
Frostflake Studios,2
Versus System,2
Gordon Roberts,2
Eric Ferguson,2
Bluish-Green Productions,2
Catstudio,2
Mechanical Monocle,2
Kneeling Bean Studio,2
Rynder Games,2
PRO2131,2
Reality Reflection,2
KEA Games,2
Munkyfoot Gaming,2
Stefan Fleischer,2
"Shanghai ThinkingBear Network Technology Co.,Ltd",2
Hammerson Games,2
Idea Cabin,2
Fuzzy Code Studio LLC,2
Echidna Studios,2
WSJ Team,2
Flow,2
Malicious Games,2
Jiochees,2
Istotex,2
Rasmus Rasmussen,2
GO Studio,2
Sinergia Studios,2
BoomTownGames,2
Lasmelan,2
Alfa Dynasty,2
Tundra Games Ltd,2
Random developers,2
Eric L.,2
Heat Wave Games,2
Luotsi Entertainment,2
Tooth Decay Entertainment,2
LemoNeko Software,2
Sol Bot Studios,2
Shortbreak Studios s.c.,2
Termite Farm,2
Chainsaw Development,2
Tanny Tran,2
GoldenCrest Games,2
OPAL Studio,2
Grindstone Interactive,2
Up All Night Games,2
globalsoccermanager,2
Telestic Studios,2
"Funly, LLC",2
Dan Kenny,2
TotalDistraction,2
SomeDudes,2
Dozen Minds OU,2
LucasArts,2
Go-Ah! Games,2
ZBO,2
Mubarak AlKhuzaee,2
Wamill,2
Blue Lizard Games Inc.,2
Minibeast LLC,2
indie_games_studio,2
Mintaka Softworks,2
Overimagined Games,2
Axyos Games,2
Hyphema Studios,2
Stefan Elsen,2
Jumpmen Gaming,2
Ekrcoaster,2
ECC GAMES SP. Z O.O.,2
Shane Hillier,2
callenshaw indiegames,2
Hail Mary Games,2
Poking Water Games,2
Akumu Games,2
Voidless Studios,2
netmin games,2
Rob Engel,2
Red Chain Games Ltd.,2
Electrical Eagle,2
Hunter Tintera,2
Hippopo Entertainment,2
Intangible Games,2
Two Too Many,2
Raymond Leung,2
Grey Dog Software,2
"BTD STUDIO Co.,ltd.",2
Vertical Reach,2
Morepork Games,2
LozMarblz Inc.,2
GameWriterStudio,2
Command Z,2
Denki Gaka,2
VRMonkey,2
BSS company,2
Battenberg Software,2
Royal Polygon,2
Goblinz Digital,2
Robert J. Deutsch,2
Heavy Iron Studios,2
Dreamflake,2
Yobowargames,2
xexai,2
Astrobot,2
Inventive Dingo,2
Dance studio mix,2
Emily Peregrine,2
Yellow Panda Games,2
乐吧工作室,2
Beijing LightingFire,2
Particle Systems Ltd.,2
Frismos,2
Nemeton Singularity Simulations,2
Nordic Mist Games,2
