developer,votes
The Battle for Wesnoth Project,1035
Cheerdealers,1035
Crytivo,1034
A.Y.std,1033
Full Control Studios,1032
Slug Disco Studios,1010
1C-SoftClub,1007
Airtight Games,999
Petit Depotto,994
Apoapsis Studios,993
Zen Studios,975
LVGameDev LLC,971
Snail Games USA,968
Question,965
Two Tribes,952
QCF Design,952
Low Magic Studios,951
GolemLabs,942
Ironward,941
"Grey Havens, LLC",940
Martin Ivanov,931
Black Sea Studios Ltd,929
Altar Games,927
Signal Studios,924
AutoAttack Games,918
Jan Zelený,913
NeocoreGames,909
Dapper Penguin Studios,908
Oddworld Inhabitants,902
Misfits Attic,898
GSQ Games,892
Dynamic Pixels,891
Shining Pixel Studios,889
Mindillusion,885
DoubleBear Productions,879
Katauri Interactive,874
Daedalic Entertainment,862
Sick Puppies,861
Berzerk Studio,849
Polymorph Games,842
O'olBlue Inc.,841
Strategy First,838
Microblast Games,818
Proxy Studios,813
RLR Training Inc,803
Kremlingames,791
Kyy Games,789
Chucklefish,788
Zero-K Team,786
Choice Provisions,781
MyACG Studio,779
Trese Brothers,776
LongYou Game Studio,772
Blue Brain Games,768
FlyAnvil,767
No Moon,765
Coatsink,765
Dan Walters,758
EXOR Studios,758
Croteam,757
AurumDust,751
BKOM Studios,748
Aterdux Entertainment,745
Halfbus,743
SuperVillain Studios,743
Suncrash,732
PlayFlock,722
Virtual Basement LLC,717
Oxymoron Games,717
Satur Entertainment,717
"Valkyrie Entertainment, LLC",697
Hammerfall Publishing,690
Graviteam,689
Puppygames,679
Pixel Gangsta Studio,674
WeShare Game Studio,672
Anteater Games,672
Pyro Studios,667
Big Boat Interactive,664
Fishlabs Entertainment GmbH,664
Holyday Studios,651
Sandstorm Studios Inc.,650
"Nicalis, Inc.",648
ZOV GAME STUDIO,646
Handelabra Games Inc.,640
Screeps,639
14° East,637
Event Horizon,637
Leslaw Sliwko,631
Square Enix Montréal,630
The Quadsphere,630
Luminous,629
Lion's Shade,625
Endless Loop Studios,622
Code Force,618
Stainless Games Ltd,610
阿正不经,609
Soccer Manager Ltd,605
Convoy Games,601
Mi-Clos Studio,596
Dandylion,596
Trilum Studios,594
Grid Sage Games,593
"Shanghai JingCai Computer Software Development Co., Ltd",589
Dream Reactor,584
Eforb,580
Blazing Griffin,570
Alda Games,564
BattleGoat Studios,553
DryGin Studios,553
Black Lab Games,552
Lunarch Studios,551
Empires,548
Spellbound,546
Jon Gallant,543
Spiritwalk Games,542
"Hassey Enterprises, Inc.",538
NukGames,536
Kukouri,536
"Gunpowder Games, LLC",533
橙光游戏,532
PopTop,530
CUTE ANIME GIRLS,527
Snapshot Games Inc.,527
Arzola's,526
Great War Team,521
"POCKET PAIR, Inc.",516
Uber Entertainment,515
The Quantum Astrophysicists Guild,511
Alientrap,509
Spry Fox LLC,509
Hamsters Gaming,506
Big Sandwich Games,505
Alawar Entertainment,499
Blue Byte,497
Corroding Games,494
Enlight Software Limited,488
Rob Howland,486
Eidos Studio Hungary,486
Reflect Studios,479
Grizlikyt,478
FlipSwitch Games,478
Hex Entertainment,475
Adventurepro Games LLC,475
Erik Asmussen,475
EightyEightGames,474
Goblinz Studio,472
Super Evil Megacorp,472
Kittehface Software,471
Strange Loop Games,470
Robotality,470
Yakiniku Banzai,465
Blindflug Studios AG,465
RocketWerkz,460
Plethora-Project LLC,459
Stolen Couch Games,459
CCCP,457
Straylight Entertainment,454
The Artistocrats,451
Reality Pump Studios,445
Dark Energy Digital Ltd.,443
17-BIT,442
Mola game,435
Cobra Mobile,434
Just1337 Studio,434
Flix Interactive,432
Phaser Lock Interactive,426
Evil Twin Artworks,425
White Wizard Games,422
Mothership Entertainment LLC,420
AtomicTorch Studio,420
Invent4 Entretenimento,415
Nerdook Productions,414
Alice & Smith,410
Funktronic Labs,409
Visual Entertainment And Technologies,405
Mokus,404
WarfareSims,403
SimTex,401
Fan Shi,398
CGE Digital,397
Coffee Powered Machine,394
Kerberos Productions Inc.,393
Edym Pixels,391
Daedalic Studio West,389
Dreadbit,389
2x2 Games,388
Toge Productions,388
HeroCraft,387
TickTock Games,386
Maverick Games,386
Bugbyte Ltd.,385
Creative Storm Entertainment,379
6 Eyes Studio,378
YFC games,377
Waz,375
Taylor Stapleton,372
Barry McCabe,370
RewindApp,369
Cyanide Studio,366
Akella,366
Longbow Games,363
Hammer Labs,361
Targem Games,358
Nate Schmold,357
Vile Monarch,356
Anarchy Enterprises,356
Sigma Team Inc.,355
ZuoBuLaiGame,355
Muzzy Lane,353
Dreamsite Games,351
Sauropod Studio,350
Cold Beam Games,343
BVRgame,341
中三之家,340
Villainous  Games,338
Maru Project Develop Team,337
White Rabbit Games,332
BrainGoodGames,332
Red Unit Studios,332
Corbie Games,332
Vanguard Games,331
"Bimboosoft Co.,Ltd.",327
Q-Games Ltd.,327
Funatics Software,326
Fire Hose Games,326
Star Drifters,325
Electric Succubi,323
Michal Pawlowski,323
10tons Ltd,322
Apeiron,322
Triskell Interactive,321
2DArray,320
DreamPunks,319
Shanghai huan zhen Info Tech Ltd,318
Hostel Games,318
rdt.32,316
Sparkypants Studios LLC,314
Reality Pump,313
N-Fusion Interactive,310
NetDragon Websoft Inc.,307
Cyberlore,306
Snowhound Games,304
Desert Owl Games LLC,303
WolfgangIs,302
LeonWaan Games,299
TrueThought,297
3 Sprockets,296
Mana Games,294
NetEase Games,294
DOG HOGGLER,291
Cyril Megem,289
Coolhand Interactive,288
Tim Conkling,287
"Tilted Mill Entertainment, Inc.",286
Larkon Studio,283
Estelion,283
Deck13 Hamburg,283
Bane Games,282
Ascaron Entertainment ltd.,282
Screwfly Studios,278
"SmiteWorks USA, LLC",277
Moonlight Mouse,277
Bigfingers,277
NodziGames,277
ColePowered Games,275
Mudpike,275
I-deal Games,274
Tomlab Games,271
Lucky VR Inc.,271
Red Team Games,269
Slitherine Ltd.,268
Iteration 11,268
DEXINT GAMES,268
Pera Games,267
ADhD Studios,266
"Fancy Bytes, Reactor",265
Batholith Entertainment,265
Cadenza Interactive,263
Playwood Project,260
Subatomic Studios LLC,260
Byzantine Games,259
Aldorlea Games,259
Jetdogs Studios,259
Broken Games,258
Thibaud Michaud,257
RosePortal Games,256
Happy Tuesday,254
Code Mystics,253
Strange Fire,250
4 Head Studios,249
Aleksandr Golovkin,248
DESTINYbit,247
Graveck,246
Badim,246
1939 Games,246
Sonalysts,246
CyberConnect2 Co. Ltd.,245
Grey Alien Games,244
MumboJumbo,244
Team Jolly Roger,243
Fantasy Flight Games,242
Monstrum,241
Oomst Games,240
Picaresque Studio,240
Monogon Games,240
Gavra Games,239
Systemic Games,238
MokyuSoft,237
Machine 22,237
Viking Tao,236
Bmc Studio,236
"Q Switched Productions, LLC",235
Super Punk Games,235
1C:InoCo,235
Frontier,234
Mostly Tigerproof,232
Sombr Studio,230
Zillion Whales,230
Fifth Column Games,228
VisualArts/Key,228
Tenco,228
Clewcat Games,228
Ashdar Games,226
K Bros Games,225
Dez,225
Wild Factor,224
Ludochip,224
Elite Games Team,223
gnifrebel Games UG,223
Bear & Cat Studio,222
Hexage,221
L Twigger,221
2by3 Games,220
b-alive gmbh,218
Sergio & Simon,216
Pixel Quality Games,215
Hitcents,214
GFX47,212
Balcony Team,212
Zachtronics,211
"Hangzhou Xinlan Network Technology Co.,Ltd.",211
electrolyte,211
Polar Motion,211
Terapoly,209
Pandemic Studios,208
Muzzy Lane Software,208
Dawntrail Entertainment,207
Codebyfire,207
Artem Kotov,207
Progorion,206
Naiad Entertainment LLC,206
"Bat Country Games, LLC",205
Sleepy Duck,204
Felip Guimerà,204
Squeaky Wheel Studio Inc,204
Laughing Jackal LTD,203
Oryx Design Lab,202
Hi-Rez Studios,201
Fantasy Flight Interactive,201
The Creative Assembly,200
Riff Studios,200
Anatoliy Loginovskikh,199
Improx Games,199
Chaos Industries,198
Tinogames Inc.,198
Thorne Games,196
Ripknot Systems,196
Mythical City Games,196
JE Software,195
Roman Makhmutov,195
Kitfox Games,194
VR Designs,194
Malfador Machinations,192
Whale Rock Games,192
Emmanuel Salva Cruz,189
Sheer Studios,189
Ivanovich Games,189
Drixy Games,188
Polyslash,188
Seacorp Technologies,188
System 3,188
TheMiddleGray,187
Red Redemption,187
OfficialAndy,187
DigiPotato Studio,185
Blind Mind Studios,185
Wargaming.net,185
Crunching Koalas,185
Turnopia,184
90Games,182
Infinite Interactive,182
Brain Seal Ltd,182
Jake Huhman,182
Mojang,182
Kilted Camel,181
BumpkinBrothers,181
it Matters Games,179
CP Decision,179
The Knights of Unity,179
Lycanic Studios,178
Corrosive Studios LLC,177
DVS,175
VirusSea,174
Stardog Games,174
Russpuppy,174
Skyshine Games,174
GaluluGame,174
边境游戏工作室,173
Nicholas Rizzo,172
Ageod,171
Illusion Softworks,171
Pixelated Milk,171
Mad Mimic,170
Facepunch Studios,169
AYGames,169
Ubisoft  Shanghaï,168
Serious Brothers,168
Crankage Games,167
IOA Games,166
Rodeo Games,165
Flow Combine,164
Overture,164
Yiming,162
Evil Bite,162
Fireblade Software,161
Iridium Studios,161
"LRDGames, Inc.",161
Nezon Production,161
Every Single Soldier,160
Lucas Molina,159
Pixel Cattle Games,159
Rage Software,158
"A Sharp, LLC",157
Insane Dreamers,156
GabberGames.com,155
Coconut Shavers,155
Boomzap Entertainment,154
Frozenbyte,153
Auroch Digital,152
Fireglow,151
Immersed Games,151
Liquid Dragon Studios,150
Sunny Show,149
Vasiliy Kostin,149
BL-Logic,149
KIXEYE,149
TimeGate Studios,149
Firebrand Games,148
Konfa Games,148
Myron Software,148
bumblebee.,147
Leiting Interactive,147
PERFECT PARALLEL,146
Upper Class Walrus,146
Rad Codex,145
Chondrite Games,145
Zeroscale,144
Raptor Claw Games,144
Kazakov Oleg,144
SoftWarWare,144
Wave Light Games Inc.,144
Sacada,143
Astronomic Games,143
NIGHTBOX,143
SkyBox Labs,143
Fun Bits,143
Futuremark,142
掌烛文化,142
Cube Roots,141
WinterSpring Games,141
DTF games,140
iosoftware,140
Sixteen Tons Entertainment,140
Proton Studio Inc,140
Irrational Games,140
Hypersect,140
Chris Sawyer,139
Oats Studios,139
Meggic,137
Starni Games,136
Burrito Studio,136
Paladin Studios,136
"Fantasy Flight Publishing, Inc.",136
Bolvërk Games,135
Rainbow Games,135
Crasleen Games,135
Ripstone,135
Kitsune Games,134
Parallel Space Inc,134
Legend Studio,133
Skilltree Studios,133
Cardboard Utopia,133
Righteous Hammer Games,133
Sillysoft Games,132
grapefrukt games,132
"Thiemo Bolder, ONEMANGAMES",132
Onni Interactive,132
Origin8 Technologies Ltd.,132
Timeslip Softworks,131
Eat Create Sleep,131
Ezzat Studios,131
X-Bow Software,130
Indiever Games,130
Jujubee S.A.,129
"HANGZHOU ELECTRONIC SOUL NETWORK TECHNOLOGY CO., LTD",129
Massive Entertainment,128
Huw Millward,128
Starwind Games,127
Flat Earth Games,127
FreezeNova,127
Shark Punch,127
Vladis Fire,127
Vifth Floor,126
Snkl Studio,126
Marmalade Game Studio Ltd,125
Lonely Troops,125
Roman Glebenkov,125
Virtys,124
Fluffy Kitten Studios,124
Jannik Nickel,124
Squatting Penguins,124
Digital Eel,123
Far Road Games,123
All Yes Good,123
Flying Panjandrum,122
Spellbook,122
Office 5656,122
doorfortyfour,122
Heydeck Games,122
Volcanic Giraffe,122
Pelican Party Studios,121
Bad Seed,121
WINGED SAKURA GAMES,121
Dustwind Studios,121
Dark Inertia Studios,120
Interactive Fate,120
i273 LLC,120
Black Lime Studio,120
Sylvain Harlaut,119
SMG Studio,118
Doble Punch Games,118
Digital Cybercherries,118
Nine Dots Studio,118
Filament Games,116
Realore,116
Obsidian Entertainment,116
Black Cactus,115
Dragon Wing Studio,115
Fury Software,115
Shrimpcave Industries,115
Andrettin,114
FunLab骆驼,114
Arkedo,113
Team Junkfish,113
Snowcastle Games,112
Emir Cerimovic,112
Free Range Games,112
