developer,votes
Shiver Games,4862
Destructive Creations,4853
Ivory Tower in collaboration with Ubisoft Reflections,4843
"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",4812
Reikon Games,4735
Hi-Rez Studios,4732
QLOC,4655
Pearl Abyss,4578
Cyanide Studio,4537
City Interactive,4520
Osumia Games,4509
Outerlight Ltd.,4485
上海アリス幻樂団,4367
Zombie Panic Team,4353
Moppin,4337
PixelTail Games,4307
Unreal Software,4296
Sorath,4240
South East Games,4236
Double Damage Games,4219
Capcom Game Studio Vancouver,4191
Spearhead Games,4188
Doctor Entertainment AB,4158
Streum On Studio,4095
GhostShark,4065
SANDLOT,4058
Rockstar North / Toronto,4056
"Lion Games Co., Ltd.",4049
Wolfire Games,4040
Lionhead Studios,4020
DolphinBarn,4009
"INTI CREATES CO., LTD.",3954
11 bit studios,3892
Afterthought LLC,3888
Haemimont Games,3882
Blue Studio,3860
Just1337 Studio,3834
Aquiris Game Studio,3834
"Dragonfly GF Co., LTD",3791
Milkstone Studios,3787
Monolith,3787
SNK CORPORATION,3765
KK Game Studio,3763
搞快点工作室,3755
Payload Studios,3747
2K Marin,3738
"EQ-Games , Pixel Dash Studios",3732
Proton Studio Inc,3731
The Game Bakers,3725
Refract,3710
Alientrap,3690
Acid Wizard Studio,3618
Anvil Game Studios,3613
Powerhoof,3601
Joycity,3589
Pieces Interactive,3571
CodeBrush Games,3556
Marvelous Inc.,3522
David Szymanski,3510
JForce Games,3477
Fishing Cactus,3472
Contingent99,3455
Secret Exit Ltd.,3454
"Masangsoft, Inc.",3441
Brilliant Skies Ltd.,3440
GalaxyTrail,3424
Nexon Korea Corporation,3393
Pixel Ferrets,3388
Lince Works,3357
Carlsen Games,3346
MinMax Games Ltd.,3343
KADOKAWA GAMES / GRASSHOPPER MANUFACTURE,3341
Raven Software,3321
Day 1 Studios,3319
Krillbite Studio,3289
Rake in Grass,3268
Octoshark Studios,3257
KOG,3244
Against Gravity®,3206
Gray Matter Studios,3201
Titan Studio,3196
Fenix Fire Entertainment,3184
10tons Ltd,3176
"CyberConnect2 Co., Ltd.",3157
Lukewarm Media,3124
"CAPCOM CO., LTD.",3120
Doborog Games,3120
Sloclap,3112
Okomotive,3093
Spasman Games,3086
Michael Zahniser,3054
BANDAI NAMCO Studios,3020
Transhuman Design,2992
Bluebutton Games,2990
D-Pad Studio,2987
Core Design,2987
ROCKFISH Games,2974
RUST LTD.,2955
Pyro Studios,2932
Thomas Happ Games LLC,2897
Erik Asmussen,2896
Diatomic Games,2880
MercurySteam - Climax Studios,2874
Walter Machado,2845
Piranha Games Inc.,2844
Home Net Games,2841
Infinity Ward,2824
Boxelware,2792
Capcom Vancouver,2790
Blit Software,2767
Sigma Team Inc.,2757
IO Interactive,2744
Michael Todd Games,2726
DigitalDNA Games LLC,2691
Teeworlds Team,2689
Reakktor Studios,2683
Little Green Men Games,2680
Krome Studios,2672
FreakZone Games,2670
Undead Labs,2670
ACQUIRE Corp.,2650
Creaky Corpse Ltd,2635
Ink Stains Games,2616
Fabio Ferrara,2615
davevillz,2597
Over The Moon,2585
Acid Nerve,2575
Shiro Games,2545
