developer,votes
it Matters Games,179
Industry Games,179
"KADOKAWA GAMES, LTD",179
Caracal Games,179
1337 & Senri AB,178
THREE ONE ZERO,178
Batholith Entertainment,178
"Good Morning, Commander",178
ONE MORE LEVEL,178
vextro,177
4 Dimension Games,177
"Miniwan Technology Co.,Limited",176
白露社,176
Serkan Bakar,176
Everlasting Fantasy,175
Rocket Jump,175
hOSHI,174
VirusSea,174
RewindApp,174
OfficialAndy,173
Samer Khatib (Snowconesolid Productions),173
Psydra Games LLC,172
Sushee,172
Shotgun Surgeons,170
Evil Indie Games,170
Volha,170
Kyuppin,169
Fantasia Studio,169
AYGames,169
"Amaranth Games, LLC",169
kraken666,169
Game Ever Studio,169
Atypical Games,169
Snowbird Games,169
Solest Games,169
Evil Twin Artworks,168
Crystal Depths Studio,168
D'Avekki Studios Ltd,167
HyperSloth,167
LunarPixel,167
Monstrum,167
SuperChop Games,166
Tomkorp Computer Solutions Inc.,165
Rodeo Games,165
Salangan Games,165
Squinkifer Productions,165
StoryTale Studios,165
Liz-Arts,164
Funatics Software,164
Overture,164
Helvetica Scenario,164
I Sioux Game Productions B.V.,164
Ape Law,164
TawStudio Entertainment,164
K-D Lab,164
lamb of game,164
Robotality,164
Fabraz,163
Volumetric Games,163
MeDungeon Ltd.,163
Infamous Quests,163
Mad Mimic,162
Fireblade Software,161
Doomster Entertainment,161
Sludj Games,161
Light Echo,161
Morgondag,161
Marmalade Game Studio Ltd,161
Portponky,161
GrabTheGames Studios,160
Team Fugl,160
Infinigon,159
Cherry Co. Studios,159
Flying Mollusk,159
AtomicTorch Studio,159
YCJY,159
PlayZilla.tk,159
Dosane Games,158
Kubold,158
Straandlooper,158
Flat Chest Dev,158
Epic LLama,157
Digital Eel,157
九鼎工作室,157
Sean Davy,156
Fossil Games,156
GATO STUDIO,156
Circle Poison,156
TicToc Games,156
Interactive Stone,156
Candymakers,155
Eric Provan - Ayyo Games,155
Loveshack Entertainment,155
Too Kind Studio,155
Trav Nash,154
Deceptive Games Ltd.,154
Cleveland Mark Blakemore,154
Ethrea Dreams,153
FNGames,153
Retrific,152
Parasol,151
Vile Monarch,151
Igor Krutov,151
Triconn Games,151
radio,151
Irisloft,151
historia Inc,150
Xander's Corgi Arcade,150
Liquid Dragon Studios,150
Magic Design Studios,149
Sunny Show,149
Symmetric Games,149
C.I.N.I.C. Games,148
Realore,148
VladCastillo,148
Rain Games,147
DanielDavisGames,147
"Buddy Cops, LLC",147
Upper Class Walrus,146
White Door Games,146
Nerd Monkeys®,146
OBLONE Software,146
Fireroot Studios,146
Emanon Studios,144
Spicy Tails,144
Twisted Pixel Games,144
Xorcerox,143
ShiinaYashiro,143
Darius Immanuel D. Guerrero,143
Evan Tognotti,143
Chibig,143
NIGHTBOX,143
掌烛文化,142
Space Budgie,142
StarQuail Games,141
Slick Entertainment Inc.,141
Jonas Kyratzes,141
Tequilabyte Studio,141
DeXP,141
Teyon,140
"Sastrei Studios, LLC",140
IDALGAME,140
Proton Studio Inc,140
Carbon Studio,139
Oats Studios,139
Gnarled Scar Manipulations,139
Bigosaur,139
Lemondo Games,139
Erebus,138
"MindBlocks Studio, LLC",138
Airwolt,138
Appnormals Team,138
Flaming Firefly,137
"The Abbot's Book, LLC",137
KAIJYU-09,137
"Beijing Litchi Culture Media Co., Ltd.",137
Accolade,137
Blaze Epic,137
On The Level Game Studios,137
Zeppelin Studio,137
CivilSavages,137
Phil Fortier,136
Colin Northway with art by Thomas Shahan,135
Squidlit Ink.,134
Phigames,133
devotid,133
Thatcher Productions,133
TwinDrills,132
Relative Games,132
Stairfall Institute,131
Juggler Games,131
TERNOX,131
GAME NA KIBUN,131
Sealtail Studio,131
Ant.Karlov,131
K Monkey,130
RunServer,130
Fire Face Corporation,130
Eurocom,130
CoaguCo Industries,130
Dreamloop Games,130
Turbo Button,130
Anea_Duo_Dev,129
Rebelephant,129
Rapscallion,129
Magic Sandbox,129
Joure Visser,128
Two Mammoths,128
Planet Alpha ApS,128
Toco Games,128
Egor Rezenov,128
Wizard Fu,127
LEVER Software,127
Flat Earth Games,127
Whole Hog Games,126
8Floor,126
Primary Games,126
Team Navigator,126
No Pest Productions,126
SnagBox,126
Avalanche Software,126
七彩绘色,125
Bilge Kaan,125
COWCAT,125
Trapdoor Inc.,125
DrashVR LLC,124
Gingertips Game Studio,124
WindThunder Studio,124
Interplay Entertainment Corp.,124
KO_OP,124
Beenox,124
Wx3 Labs,124
Oddrok,124
Team Indev,123
btf,123
Oriplay,123
INSIDE SYSTEM,123
Santa Ragione,123
Magnolia Art,123
Hailstorm Games,123
Multiverse,122
Dohi Sweden AB,122
98DEMAKE,122
MPS Labs,121
SoraPrayer,121
Heero,121
NeoNight,121
Silver Cow Studio,121
Limbic Entertainment GmbH,121
Pelican Party Studios,121
Platine Dispositif,121
Billy Goat Entertainment Ltd,121
Disney Interactive,120
i273 LLC,120
Outer Brain Studios,120
Interactive Fate,120
Dead Drop Studios LLC,120
Ginger Labs LLC,120
Desert Owl Games LLC,120
Wonderfling,119
Anton Riot and Co,119
Smee,119
Duelboot,119
Outlands,119
Bytebin,118
Doble Punch Games,118
Monkey Stories,118
Dirigo Games,118
Infogrames,118
Team Entropy,118
realities.io,118
Alessandro Guzzo,118
The Deep End Games,117
Francois Roussel,117
Alex Carpenter,117
哈视奇科技,117
Arif Games,117
Popcannibal,117
Gran Skrea Online,117
Crynosaurs,117
Moondrop,116
Easy Co,116
Caustic Reality,116
Dreamz Studio,116
Sparks Games,116
SEMISOFT,116
Baobab Studios Inc.,115
Florastamine,115
Crania Games,115
Brushfire Games,115
Hikergames,115
earrgames,114
LoopyMood,114
Studio GU,114
RYM GAMES,114
BSK Games,114
Andrettin,114
Chris Antoni,114
Studio Wasabi,113
goonswarm,113
Polished Games,113
Snowcastle Games,112
Sebastian Nigro,112
Causa Creations,112
Gamechuck,112
Emir Cerimovic,112
Subscience Studios,112
TGA Company LLC,112
Robit Games,112
Passtech Games,112
Fossil,112
Studio Sott,111
Painted Black Games,111
White Lotus Interactive,111
Easy game,111
Victorian Clambake,110
Memory of God / Lambic Studios,110
Double Dice Games,110
Quiet River,110
Dotoyou Games,110
Bromoco Games,110
AFBIK Studio,110
Pixel Forge Games,109
SharkGame,109
Tiny Titan Studios,109
tT Studios,108
Gloomywood,108
Semaphore,108
Attu Games,108
Hibernian Workshop,108
Volker Elzner,108
Crocodile Entertainment,108
Shorebound Studios,108
Big Cow Studios,107
Nerdook Productions,107
Rockstar Games,107
Gunnar Games,107
Arupaca Laboratories,107
Assemble Entertainment,107
Gabriel Priske,107
Monkeys Tales Studio,107
Alawar,107
Immortal Game Studio,107
Mt.Bamboo Village,107
Bubble,107
Jonathan BRASSAUD,106
Hapa Games,106
Primary Orbit,106
Tower Games,106
Data Realms,106
Axel Sonic,105
Connor O.R.T. Linning,105
Dot 4 Joy,105
Asobo Studio,105
Crank Goblin,104
GreyLight Entertainment,104
Piece of Cake studios,104
Havishamone Games,104
EvilCoGames,103
studiocime,103
N-Tri Studio,103
Big Fish Studios,103
One More Level,103
Dowino,102
Birdwall Games,102
roseVeRte,102
Deric Ruhl,102
Bae Team,102
秋之忧郁,102
Daniel Davies,102
Smolders,102
Tiny Bull Studios,102
Whalebox Studio,102
Iced Lizard Games,101
Erotes Studio,101
Entertainment Forge,101
Howling Moon Software,101
Access Software,100
Kurenaibook,100
Stonebrick Studios UG,100
Retro Affect,100
MrCiastku,100
Frisky Fatal Games,100
Cobra Mobile,100
Team Shuriken,100
Spelkraft,100
Green Lava Studios,100
Ovid Works,99
Leslaw Sliwko,99
Aardman Animations,99
Portal Studios,99
"Blackthorn Media, Inc.",99
VitruviusVR,99
Vulgat,98
Rhino Games,98
Studio Bean,98
Other Ocean Interactive,97
Goldbar Games,97
ZAR 21,97
Dnovel,97
Trickster Arts,97
Smoodlez,96
StormBringer Studios,96
Hasoyua,96
teedoubleuGAMES,96
Storm in a Teacup,96
Fat Panda Games,96
Directive Games Limited,96
Bigmoon Entertainment,95
Firehawk Studios,95
18Light Game Ltd.,95
Calvino Noir Limited,95
Wild Kid Games,95
Sir-Tech,94
Midnight Hub,94
Secret Location Inc.,94
Slipgate Ironworks™,94
DistrictWare inc.,94
InterOne Inc.,94
bad chalk,94
louis morel,94
Hunter Hamster,94
Daniel Fernandez Chavez,94
Thumbtack,94
Threevol,93
Veewo Games,93
Jucar,93
Cosmic Logic,93
Cowardly Creations,93
Illusion Ranger,93
Synapse Games,92
Nyamakop,92
9TH.ART,92
Polar Bunny Ltd,92
madosoft,92
Circus,92
Hyperkinetic Studios,92
DevilishGames,91
Physiology with Dr Christian,91
Lienzo,91
狼皮羊工作室,91
Nathan Meunier,91
DazlogStudio,91
Lawrence Russell,91
Antler Interactive,91
Samurai Punk,90
Kalmia8,90
Brainchild,90
Emilios Manolidis,90
Owl Tribe Entertainment,90
Zetsubou,90
Handelabra Games Inc.,90
Creobit,90
Skywind Games,90
Schulenburg Software,90
08 Games,90
"Antaria, LLC",89
PinkPeachStudio,89
CM Softworks,89
Prologue Games,89
Ritual Games,89
Cateia Games,89
Wispfire,88
Vertical Skull Games,88
S-Game,88
Blue Fiddich制作组,88
Barking Dog Studios,88
HZ3 Software,88
Parallaxian Pty Ltd,88
nitopu,87
Sun Dogs,87
Puppygames,87
Ejoy Games,87
Critical Games,87
1C Company,87
OKAM Studio,87
Hexecutable,87
Exquisite Games,87
Never Knows Best制作组,87
不公开,87
Domino Digital Limited,86
Team Robot Black Hat,86
CC.D,86
Crafty Studios,86
Absolutist Ltd.,86
Chronicle Bench,86
ClickGames,86
Secret Base,86
Pixelatto,86
Odd Meter,86
Speelbaars,86
Venture Moon Industries,86
Siberian Mouse,85
Paweł Mogiła,85
Enigami,85
FreezeNova,85
FHNBHJ,85
忆夏之铃制作组,85
Носков Сергей,85
Super God,85
StephenAllen,84
Morgopolis Studios,84
游学者狐狸,84
Caravel Games,84
Electrocosmos,84
Strange Company,84
AHA Entertainment,84
Elven Workshop,84
Valorware,84
Dragon's Games,84
"Pixel Prototype, LLC",84
Kucing Rembes,84
MGP Studios,84
Toontraxx Studios,83
Turmoil Games,83
Allen Dayan,83
TORaIKI,83
Scarecrow Arts,83
HA Studio Ltd.,83
ManaVoid Entertainment Inc.,83
Mad Orange,83
Catfishbox,83
BBC Media Applications Technologies Limited,82
Colosse Team,82
BigCheeseGames,82
One Wing Cicada,82
Lion game Lion,82
LizardFactory,82
Mikołaj Spychał,82
Only Voxel Games,81
Skydome Entertainment,81
Dopterra,81
Verbal Chambers,81
Colorfiction,81
Burst,81
Digital Dreams,81
Bitmen Studios,81
Rimma Filato,81
Aegon Games,80
AIVIK LLC,80
Fntastic,80
bitComposer Games,80
Grid Game,80
Impromptu Games,80
Anthony Case,80
Basecamp Games,80
Matt Boyer,79
Yippee Entertainment LTD,79
Kiro'o Games,79
Red Abyss Software,79
Calvin Weibel,79
Charles Games,79
Willz,78
Screwy Lightbulb,78
EternalShadow Studios,78
ミナプラス,78
SaintHeiser,78
Rabbiroo,78
Over the Top Games,78
frecle ApS,78
Touch Dimensions Interactive,78
Joshua Missile,78
22cans,77
It's Anecdotal,77
Nikita,77
The Moonwalls,76
Angry games,76
Cabbit,76
Paul Cuisset,76
Duckbridge,76
Ansimuz Games,76
Solar Sail Games Ltd,76
Sierra On-Line,76
"The Dirigiballers, LLC",76
Duaik Entretenimento,76
"Arcen Games, LLC",76
NEKCOM Entertainment,76
Proud Dinosaurs,75
"""Andrew """"Versus"""" Larionov""",75
Miria Studios,75
The Game Bakery,75
Brain&Brain,75
Jordan Allen,75
MyDearest,75
夢かき屋,75
藍茶高校 Blue Tea College,75
Muro Studios,75
Lached Up Games,75
Kurechii,74
Woodsy Studio,74
漾夕,74
SOFTSTAR ENTERTAINMENT INC.,74
Lunar Great Wall Studios,74
PlatSTUDIO,74
Skatanic Studios,74
PolyPusher Studios,73
Mazen Games,73
Orchid Games,73
Studio Paint,73
Solar Sails Games,73
"JumpStart Games, Inc.",73
Lichthund,73
Rolling Glory Jam,73
CAT IN JAR GAMES,72
HandMade Game,72
Red Skald,72
RAZAR s.r.o.,72
Sodigital,72
Team Kryll,72
Psilocybe Games,72
eight game studio,72
Pixel Blade Games,72
Camel 101,72
Foggybus,71
Project Polish Productions,71
"Ryu Productions Co., Ltd",71
illuCalab,71
Ivy Games,71
Artalasky,71
Yeti Trunk,71
Fula Fisken,71
HYDEZEKE,71
Brzezinski,70
Spellbook,70
Fur Dev Team,70
Endless Void Studios,70
Baba Yaga Games,70
Kel,70
CreateVR,70
"Black Chicken Studios, inc.",70
Shadow Tor Studios,70
Navel,70
Bad Seed,70
Tvr Games,70
Igry.ru,69
SC Jogos,69
Greenolor Studio,69
Mains Digitales Interactive,69
MonkeyToons,69
Blue Tea Games,69
1C Wireless,69
BUG-Studio,69
Team Fork,69
Gloria Works,69
Faravid Interactive,69
Alien Jellyfish,69
SUPER WAVE Studio,69
Skandivania Games,69
Wizard Games Inc,69
Sakura River Interactive,69
HyacinthHeart,69
Purple Studios,68
Erik Svedäng,68
Galulugame,68
Bread Vision Studios LLC.,68
Stroboskop,68
I Fight Bears,68
GuGames Development,68
YFC games,68
Karosu-Maker,68
J. King-Spooner,68
Worm Animation,68
MetamorphoGames,68
Sarepta studio,68
Flying Star Games,68
Blind Bird,67
Vanguard Games,67
Onion Core,67
GUTS Department,67
Pyrodactyl,67
NHTV Breda University of Applied Sciences,67
豆干叠叠木,66
Steel Wing,66
New Reality Games,66
kuklam studios,66
HAN XU,66
Whiterra,66
imaginite Ltd,66
Goodwolf Studio,66
Storybird Games,66
Hammerhead VR,66
Lunar Giant,66
Eteru Studio,66
CCYY,66
Maximum Games,66
Kindman,65
A Stranger Gravity,65
Owl Studio,65
Lucasfilm,65
NewWestGames,65
Blue Entropy Studios,65
Hummingwarp Interactive,65
John Wizard,65
Windybeard,65
Loser/s,65
3rd Eye Studios Oy LTD,65
EXE-CREATE,64
Perverse Games,64
Delve Interactive,64
Droqen,64
Turbo Chimp,64
Phaser Lock Interactive,64
Pulse Entertainment,64
Curtis Campion,64
Brouillard,64
diman production,64
The Young Socratics,64
Realmforge Studios,64
Happy Polygon,64
Zac,64
SleepNinja Games,63
Glass Knuckle Games,63
Toucan Studio,63
Wojciech Krupinski,63
Stardock Entertainment,63
The Pompous Pixel,63
Snail-Ninja Studio,63
Lisa Voronova,63
3D Realms (Apogee Software),63
Viperante,63
"GANBARION Co., Ltd.",63
True Illusion Software,63
Denis Galanin (mif2000),63
AIHASTO,62
Purple Software,62
Cybernetik Design,62
HomeBearStudio,62
Gremlin Interactive,62
"LRDGames, Inc.",62
"HeR Interactive, Inc.",62
Petite Games,62
Clara Lehenaff,62
Lazy Monday Games,62
"Pixel Barrage Entertainment, Inc.",62
Hollow Ponds,62
Alexander Goodwin,62
The Wandering Ben,62
3D2 Entertainment,62
NorthernBytes Software,62
Black Lab Games,62
Stonepunk Studios,62
Zack Wood,62
Gustav,61
Oscar Celestini,61
Hydro Games,61
Seldom Ludious,61
Meridian'93,61
Yonder,61
Peace & Love Games,61
"Rocketeer Games Studio, LLC",61
StormCube Games,61
Robert Weaver,61
Red Mouse Games,61
Meowshmallow Studio,60
Inversion Software,60
Hell Squirrel Games,60
Starwind Games,60
Mescaline's Wings,60
Nuked Games,60
Deqaf Studio,60
Tymon Zgainski,60
Green-eyed Taxi,60
For Kids,60
No Bull Intentions,60
Visualnoveler,60
Fallen Tree Games Ltd,60
NLB project,60
Igrodelsky,60
KoromoSoft,60
Rice Cooker Republic,59
btf GmbH,59
Eugeny Butakov,59
Whalenought Studios,59
"Chance6 Studios, LLC",59
Punch Punk Games,59
Frostwood Interactive,59
Kajak Games,59
Yah_Shi,59
PING YI LIN,59
Schell Games,59
Paperash Studio,59
上海杜昂网络科技有限公司,58
Dustin Gunn,58
Up Multimedia,58
Sinister Systems,58
2020 Venture,58
Innocent Grey,58
Spaces of Play UG,58
SuperSixStudios,58
Whale Hammer Games,58
Linkus Studio,58
Bonfire Entertainment,58
OSome Studio,58
ShaBi,58
Nuberu Games,58
MyDearest Inc.,58
Isojumper,57
Vimes Entertainment,57
Himalaya Studios,57
Elf Games,57
Fancy Fish Games,57
Woblyware,57
Digital Media Workshop,57
RareSloth,57
stillalive studios,57
CloudTheWolf Games,57
The Dreamers Guild,57
AURORA Games,57
Sunside Inc,57
Defrost Games,57
Norn / Miel,56
Marco Amadei,56
Rionix,56
Kizami Fans Club,56
Kingdom Games,56
Big Evil Corporation,56
Pixel Reign,56
Gritfish,56
Charyb Games,56
Fair Games Studio,56
Hehe Gamez,56
Blazing Planet Studio,55
nextReality Games,55
Storycentric Worlds,55
Adventure Islands,55
Black Cell OG,55
Alexander Mirdzveli,55
nDreams,55
Two Desperados,55
Bit Byterz,54
Vogd3,54
Orphic Software,54
FLAT12,54
Just A Pixel Ltd.,54
kalanhow,54
Oliver Boyce,54
Somnium Games d.o.o.,54
PhyzixMind,54
Dan Smith Studios,54
Miikka Åsnabrygg,54
Uzumeya,54
onebitbeyond,53
Studio Pieplus,53
Centicerise Productions,53
Mindfield Games,53
晨风工坊/DAWNWING SHOP,53
Metanaut,53
Steppe Hare Studio,53
Duoji Network technology,53
Gosatsu Visual Novels,53
Wicked Studios,53
Oubliette,53
Toni Domínguez,53
Struckd AG,53
AKGames,53
Auroch Digital,52
8D Studio,52
Lonely Boy Studio Inc.,52
Studio Oleomingus,52
Nitreal,52
Faux-Operative Games,52
Fast Travel Games,52
Glass Bottom Games,52
Mana Potion Studios,52
Mode4,52
Llyr ap Cenydd,52
Cognitive Forge,52
Yadon Studio,52
Celery Emblem™,51
TechnoBrake,51
Big Kitty Games,51
Thomas Meduri,51
KBJGames,51
hamstercube,51
DeanForge,51
ARVORE Immersive Games Inc.,51
Kiddy,51
Galope,51
TriHelix LLC,51
Lumenox ehf,51
NoBreadStudio,51
Pigeons Interactive,51
FobTi interactive,51
"Oh, a Rock! Studios",51
VergeXGamer,51
AZ-Art Development Studio,50
7 Raven Studios,50
Dali Games,50
KaleidoGames,50
13AM Games,50
SEEP,50
Gamers4Gamers Team,50
Myarcadegames Studios,50
Moonlite Software,50
Session Seven Team,50
JPEG OF PAIN GAMES,50
祥,50
Plueschkatze,50
Mass Creation,50
Tatyana Murzina,50
Mommy's Best Games,50
cbritez,50
Praxia Entertainment,50
Anatoly Konstantinov,50
White Birds Productions,49
Mosaic Mask Studios,49
e-visualsoft,49
Eduard Mirica,49
Zakhar Zakharov,49
Gamebell Studio,49
4Friends Games,49
Kuro Irodoru Yomiji,49
Zotnip,49
Agate,49
Vertical Robot,49
Hitbear Studio,49
Absorbed Studios,49
Ice World,49
MagicK,49
Olivier LeClair,49
Armnomads LLC,49
Frogames,49
Instant Kingdom,48
Nomad Games,48
DoshMallow Games,48
Frog Factory,48
NC,48
Paleozoic,48
Fedorov Ilya & Andrew Konovalov,48
Blazing Fanfish,48
Dalivi Rikardo,48
Sean Han Tani,48
Intravenous Software,48
The Domaginarium,48
Exe Create Inc.,48
Oneiric Entertainment LLC,48
Sonoshee,47
Hunex,47
Edible Entertainment,47
Tom Kitchen,47
Chronofire Arts,47
Nilo Studios,47
Touwaku Studio,47
Hybriona Labs,47
JOL Studios,47
Shinou Game Studio,47
neko.works,47
Mojiken Studio,47
Pencil Test Studios,47
Aesir Interactive,47
Ali Asfand,47
Whiskeybarrel Studios,47
Prime Games,47
Monster Couch,46
Cardboard Keep,46
Andrei Romanov,46
阿津,46
理想乡开拓者,46
Jaybot7,46
Jia-Ho Jian,46
Studio Evil,46
Achpile,46
Bigzur Games,46
Orangepixel,46
Gattai Games,46
GamersHype Productions,46
Alexandr Kataev,46
Wave Light Games Inc.,46
Arrogant Pixel,46
Cypronia,46
Adam DeLease,46
Relentless Software,46
ForepawSoft,46
Ravio Karo,46
A Jolly Corpse,46
QUICKTEQUILA,46
MagicHouse,46
Dragon Slumber,46
DuckbearLab,45
Presto Studios,45
Battle Blockyverse Studios,45
RuneHeads,45
4th cluster,45
Xatrix Entertainment,45
Tio Atum,45
绚丽奈落,45
SnowBaby Games,45
Yann Zunn,45
Rank17,45
Kirisame Jump,45
BadWolf Games,45
Bellcat Game,45
Italic Pig,45
Armitage Games,45
TickTock Games,45
Uncle Frost Team,45
Koreez,45
GamerzDan,44
Valkyria Games,44
IBOLOGY LLC,44
Daily Magic Productions,44
Echo Tokyo Games,44
Raven Travel Studios,44
Round Cube Studio,44
ZCH字母君,44
SacriFACE Studio,44
propeller,44
Anguis Game Studio,44
Oldmoustache Gameworks,44
YGGDRASIL STUDIO,44
Eipix Entertainment,44
Dev9k,44
The Secret Games Company,44
Pin-Point,44
Cafe Shiba,44
OlderBytes,43
Groovy Milk,43
Wizard Mode,43
Chocolate Liberation Front,43
[bracket]games,43
Versus System,43
Paleontology,43
Redact Games,43
Party for Introverts,43
Rekim,43
Good Game Co.Ltd,43
Bishop Games,43
0Cube,43
Momentum Digital Media Technologies,43
Jimbob Games,43
"Return To Adventure Mountain, LLC",43
Enjoy Games,43
Nuclear Tales,43
BekkerDev Studio,43
PolyKnight Games,43
Double Helix Games,43
Daniel McFarline,43
free08Games,43
Cyberflix Incorporated,43
Carlos Coronado,43
Sonic Shield,43
Land Patricio,43
David Su,43
Asylum entertainment,43
Lucasfilm Games,43
DG Games Workshop,42
Viacheslav Bushuev,42
Donley Time Foundation,42
KEXBOY,42
Yitz,42
Bryan Tabor,42
Fluik Entertainment Inc,42
Super Icon Ltd,42
MUIFWEGO,42
Bludgeonsoft,42
Monomyth Games,42
Skyjaz Games,42
Agelvik,42
Frymore,42
Tatamibeya 畳部屋,42
Proper Games,42
Airem,42
Sunight Games,42
LifeSpark Entertainment,42
大谷 DGSpitzer,42
After Death Team,42
STUDIO HG,42
Studio spektar,42
9 Eyes Game Studio,42
Sungift Games,42
UWILMOD,42
KishMish Games,42
Nude Maker,41
Studio48,41
Windward_Birds,41
Studio Namaapa,41
Ghostbutter,41
Noclip,41
GuidiGermano,41
11Sheep,41
3 Minute Games,41
VB Studio,41
BurningDust Games,41
Sam Enright,41
zoocros,41
Buddy System,41
Boogygames Studios,41
Casual Brothers,41
Odd Raven Studios,41
Anti Gravity Game Studios,41
Wako Factory,41
Jerseyware Gaming,41
IronEqual,41
Cloaz Studio,41
MDickie,41
Coffee Cat Games,41
Frostbullet,41
Papurika.moe,41
Pigasus Games,40
Never Don't Play,40
Planet Moon Studios,40
anotherworld GmbH,40
White Cat,40
Pixoala,40
The Secret Experiment,40
GoodVole,40
Veslo Games,40
Chicken in The Corn,40
Damp Gnat,40
MassHive Media,40
CGGAMES,40
Etranges Libellules Studios,40
Pocket Trap,40
Outsider Games,40
Well Told Entertainment,40
Output Games,40
3rd Eye Studios,40
Zima Software,40
Talecore Studios,40
Pixel Wizards,39
Light Road Games,39
dtp Entertainment,39
12 East Games,39
GamePhase,39
"Horizon's End, Inc.",39
HyperBot Studio,39
girl software,39
Hong Kong Netease Interactive Entertainment Limited,39
North Side,39
Parabox Games,39
Reine Works,39
Bloodwolf Studio,39
Fubenalvo,39
Wave Interactive,39
desunoya,39
PigeonDev,39
Favorite,39
Bionic Penguin,39
Silver Spook Games,39
Visiontrick Media,39
GRIP420,39
Nerve Software LLC,38
Deep Dive Interactive,38
Underflow Studios,38
Among Giants,38
Neko Entertainment,38
blank-note & Frontwing,38
NAYUTA STUDIO,38
CHARON,38
Reptoid Games,38
Bobbates LLC.,38
Big Way Games,38
Triple Eh?,38
Bean Boy Games,38
GAMELAB,38
shru,38
cada,38
Ricardo Pratas,38
Wonder Games,38
Rose City Games,38
Lucid Games Ltd,38
Arcanity Inc,38
EHTechnology,37
VRotein,37
Joseph Calabro,37
DEKDEV,37
FM Studio,37
Digital Bounce House,37
Prismic Studios LLC,37
Curse Box Studios,37
Steel Monkeys,37
Ch.ZBK,37
萌约制作组,37
The Good Mood Creators,37
Cleril Calamity Studios,37
FairyPeople,37
All Those Moments,37
Illuminated Games,37
Below the Game,37
"Reailty Smash, Inc.",36
Fumiko Games,36
EVR Studio,36
Digital Domain,36
Forester Games,36
Frogshark,36
Cocopo,36
WubsGames,36
Sherman3D,36
Lcc,36
Stegalosaurus Game Development,36
Mark Radocy,36
"Bat Country Games, LLC",36
HexGameStudio,36
Gatling Goat Studios,36
oksdev,36
SignSine,36
蔷薇千墨游戏组,36
James Mearman,36
Jak Wilmot,36
Visual Outbreak,36
Ok De,36
Amazu Media,36
rologfos,36
Adam Mowery,36
CodeManu,35
Stormcloud Games,35
Groove Science Studios,35
energy milk,35
Harmonious Games,35
Sunlight Games,35
Aftermath Media,35
Shiny Entertainment,35
Xform,35
Nauris Amatnieks,35
Videojuegos Fermín,35
Queen Bee Games,35
3D Avenue,35
Wooden Monkeys,35
Studio Saizensen,35
Lizard Hazard Games,35
Atapki,35
Wither Studios,35
4 Fun Studio,35
PixelNAUTS,35
White Sparkle Games,35
Studio Egg Roll,35
Games Farm,35
Crash Wave Games Inc.,35
Immersion,35
Hexadecimalstudios,35
FurGoldGames,35
Nick Everlith,35
Dragon Whisper Game,34
Benjamin Rommel Games,34
魔术工坊,34
 Eurocom Entertainment Software,34
Brian Cullen,34
Interplay,34
Fireballed Studio,34
Yuna Studio,34
ChairKilling,34
SIEIDI Ltd,34
Foolish Mortals Games,34
Aspyr,34
GYVR,34
Creative Freaks Inc.,34
疯王子,34
Evil Objective,34
GDNomad,34
Amegami,34
TIKIPOD,34
PLAYMIND,34
Havana24,34
rest.less Games,34
Gregor Panič,34
RadiationBurn,34
Rejected Games,34
Kyodai Ltd,34
Rock Pocket Games,34
Mikko Nykyri,34
FIRST_UKRAINIAN,34
TDZ Games,34
Roencia,34
CodeBullet,34
Dystopia Interactive,33
Your Story Interactive,33
Workbench Entertainment,33
Nifedow Games,33
Ilsanjo,33
ImperiumGame,33
Mikhail Nevsky,33
George Gilbert,33
FlatRedBall,33
Starfish-SD Inc,33
Yfrit Games,33
GooDCrafter,33
Bogdan Sychkov,33
Kurisu no Patto,33
Bonfire Games,33
Grimwood Team,33
Vibrant Core,33
Tangrin Entertainment,33
WooJuDev,33
Moonray Studios,33
Doppler Interactive,33
Akçay Karaazmak,33
Contra Concept,33
WARP,33
Team Cat 'n Mice,33
Silhouette Valley Games,33
Sky Haubrich,33
DarkDes Labs,33
Ganbarion,32
SmartHart Games,32
Myroid-Type Comics,32
Private Moon Studios,32
Imaginati Studios,32
EfrenStudios,32
Team Tripleslash,32
thecatamites,32
Gamecosm,32
Waveor,32
Dark Gaia Studios,32
Toruko Games,32
magicdweedoo,32
Sunfleck Software,32
Ploosh GmbH,32
StormBorn Studio,32
Rafael García,32
Taito,32
VDeveloper,32
OperaHouse Corporation,32
Hyper'sthene,32
TheShortAndTheTall,31
"MyDream Interactive, Inc",31
HelixFox Games,31
Hangzhou NezhaGames,31
SoftStar,31
Shadebob Games,31
Burak Dabak,31
Nocturnal works,31
Harmorise,31
GrayTower,31
Indie Ninjas,31
Emberheart Games,31
Catland,31
OCCA Studios,31
Yerawizard LLC,31
Big Hat Games,31
OnBlind,31
LTrust,31
Epiphany Games,31
Centauri Production,31
La Cosa,31
Evan Rogers,31
DaFu Studio,31
Kowai Sugoi Studios,31
Itharius,31
Curtel Games,31
Rage Monster Games,31
Luxorix Games,31
GameDevLab,31
Enigmatic Network,30
Distant Alliance,30
STREAMWORKS,30
WizarBox,30
Holospark,30
QuickSave,30
Lost Spell,30
GeexGames,30
Novaq Games,30
Dungeoneering Studios,30
Andrew Stout,30
Enno Gottschalk,30
Redwood Games,30
Léo-Games,30
Betelgeuse Zero,30
Miki Squadron Project,30
Muzintou,30
殇葵(K.),30
hyperboreanGames,30
Vexel Games,30
Brett Jackson,30
