developer,votes
Blind Squirrel Games,19
ASBO Interactive,19
Forceight,19
VirZOOM,19
Graffiti,19
MagicIndie,19
Oudidon,18
Happy Badger Studio,18
Pocket Money Games,18
Taranasus Studio,18
"A & B Game Studios, LLC",18
Catze,17
Mind Crew,17
Games Of Edan,17
Chun Y.,17
"Hammerware, s.r.o.",17
SuperSmashingGreat Games,17
nkm,16
Knife Edge Software,16
Yuuuge Games,16
Ara Interactive,16
UnexEvo,16
Primitive Studio,16
Spotted Zebra Software LLC,15
Josep Monzonis Hernandez,15
YJM VR,15
GexagonVR,15
LAB132,15
LoneDev,15
Open Mid Interactive,14
Greyish Games,14
Diamond Cats Studio,14
Alexey Volonsky,14
Laush Dmitriy Sergeevich,14
Dayn,14
ChiHeBang Studio,14
EVIL GAMES,14
"SPECIAL MAGIC GAMES, LLC",14
Loot Inside,14
Mutated Software,14
Molegato,14
Joey Sipos,13
Sylvan Studios LLC,13
illegaldogs,13
Lunagames,13
Egamea Game Studios,13
MXTreality,13
Elastic Sea,13
Smoketree Studios,13
EHTechnology,13
Astalo Games,12
nocanwin,12
MK Games,12
Headtrip Games llc,12
The Department of Silly Stuff,12
Nick Helweg,12
Chozabu,12
LeGrudge & Rugged,12
Redox Entertainment Inc,12
slampunks,12
Warpfish Games,12
XLGAMES.Inc,12
BoxFrog Games,12
Blue Mana,12
Qrakhen,12
SAT-BOX,12
FastGame,12
S&COR Games,11
7 Soft Pillows,11
Triumph LLC,11
ShotX Studio,11
Red Dev Studio S.A.,11
Singularity Lab,11
Achievement Studios,11
Mystik'art,11
Paweł Dywelski,11
Red Sky Studios,11
TML-Studios,11
AAAGAMES,10
Alpha72 Games,10
Kev Jackson,10
Semi Sağlam,10
QUByte Interactive,10
DemonStudios,10
Chris Holtshouser,10
Herrero Games,10
WarpedCore Studio,10
Enrick Lambert,10
Irmas Ibric,10
Urbanscan,10
Onteca Ltd,9
Sector3 Games,9
深圳中青宝互动网络股份有限公司,9
Mandlebar,9
Artefacts Studio,9
Uranium Soda Studio,9
2-Volt Games,9
Rumata Lab,9
Catapult Games,9
Meltdown Interactive Media,9
Zero Flag,9
enko,9
XXXgames,9
Ataverti,8
MCS,8
RageQuit Studios,8
Redlynx Ltd,8
Acclaim Cheltenham,8
Indie Glue,7
Rain Of Cubes,7
Giant Margarita,7
Acid Cat,7
David Mulder,7
Strategic Designs Ltd.,7
